simu_idx,session_idx,nu,kappa,omega
0,0,0.00015960801377938594,0.010065445891738377,-4.693215716589094
0,1,0.00015960801377939274,0.010065445891738377,-4.701819876448107
0,2,0.00010000359765457006,0.010065446278545161,-4.76278192108082
0,3,0.00010000132323889647,0.1443986002523482,-4.846210974314153
0,4,0.00017871800204131419,0.010000227103345711,-4.703364742796873
0,5,0.00010000029954810175,0.01006506920149104,-4.7219834821519795
0,6,0.0001000054339332449,0.170537187047158,-4.892925140697833
0,7,9.99994039198622,0.6284327658210143,-3.7593601276133537
0,8,0.027449309304329157,0.010000002270275404,-4.68677438643068
0,9,0.00010000170884594474,0.01480241622700913,-4.69176151146275
1,0,0.0001000159272205504,0.010063944685049358,-4.379990972051955
1,1,0.00010000382575599663,0.010064121891281504,-4.442241383806415
1,2,0.00010001537084822296,0.010065446764176209,-4.436851588192865
1,3,6.443501877238448,0.010000000001367797,-4.402797645433955
1,4,0.0001586000323866732,0.010051331453499806,-4.427890684060786
1,5,0.00010001559655665397,0.28356787623351465,-4.678819553006823
1,6,9.99994039198622,0.5721878709900161,-3.9786689035893725
1,7,7.4490674326822495,0.010000000001518015,-4.365187101546898
1,8,0.00015109362322696668,0.01000000162812434,-4.455149545007853
1,9,0.0001596080137793443,0.010065445891738377,-4.3861686131184285
2,0,0.00010000133739655421,0.4088725250492673,-4.556834657542222
2,1,0.0001000010943799682,0.5187757485561614,-4.655486854680204
2,2,0.00010000183763360154,0.19846179765959826,-4.384756513334245
2,3,0.00010000128269821833,0.1970750836297585,-4.444921188038935
2,4,6.337491277820283,0.6559510840735425,-0.6737620787507366
2,5,0.0005528139644432965,0.15510042139504027,-4.253991856481227
2,6,0.00010001547241228026,0.0633504188559906,-4.263848337885158
2,7,3.2506321322885627,0.8582899406346928,-4.145251343047385
2,8,0.00010000890669517758,0.010060027777427673,-4.181519157100426
2,9,0.00029635763067065743,0.010011430746109374,-4.289773342996896
3,0,0.00010001031637514102,0.010051827301151632,-3.752616696127863
3,1,3.790846206511225,0.2225656012194594,-4.072039923107219
3,2,0.000100010316375141,0.12971888914237353,-3.7693397772259516
3,3,1.955048530599151,0.1499814337052494,-3.380585060090421
