simu_idx,session_idx,lamda,omega,v0
0,0,0.9825288837439118,0.01496149633654817,0.9999999972991109
0,1,0.917871600167963,0.015493527491985942,0.9999339428834431
0,2,0.9999999992895685,0.015280315419172633,0.9999349210396367
0,3,0.8876828297504189,0.013494502377574265,0.9999339722658876
0,4,0.9896413747267695,0.014792519959516562,0.999999999079408
0,5,0.9999999996059455,0.014770110760324166,0.99995206208424
0,6,0.9999999990996269,0.014406456607952513,0.9999448298260197
0,7,0.9999999990746752,0.01528107472768245,0.9999483324945445
0,8,0.9766932753142468,0.0150959378494518,0.9999999983307587
0,9,0.9999999996059455,0.0152645996280944,0.9999574981032396
1,0,2.3769111558323933e-11,0.9941487362004997,0.6041231849655075
1,1,3.861763387208541e-05,0.9999999979921901,0.5806874519642016
1,2,3.0843687550506893e-09,0.36027629693922597,0.8081973440739125
1,3,2.2838462737177106e-09,0.3202516831432122,0.7840083612408517
1,4,0.551892536555485,0.442173166610989,0.8286692766881013
1,5,6.587169006709238e-05,0.9999999999999444,0.5866425993519031
1,6,4.7889909502039973e-05,0.9999999977089467,0.6200341185296645
1,7,3.3146603141203266e-12,0.948326658499083,0.6325745586864054
1,8,5.680843604971125e-05,0.9999999986068508,0.6239297301383774
1,9,5.476922716469641e-05,0.999999997233603,0.6101886270831655
2,0,5.52598216455316e-05,0.9999999972991109,0.9999806845959682
2,1,0.004736640614666175,0.9971559638615397,0.9999999989683759
2,2,6.57578607302369e-05,0.9999999999999387,0.994599400498153
2,3,0.00068427861702422,0.99996160379675,0.9999999972991109
2,4,6.164475100045468e-05,0.9999999982806116,0.9857606213394163
2,5,3.825257941685228e-09,0.999933892717234,0.999945264682456
2,6,2.27263973511239e-09,0.9999419938771604,0.9827611041943721
2,7,4.612908646503309e-05,0.9999999974211241,0.9355810172396817
2,8,6.58578712281382e-05,0.9999999999999777,0.9999380100778427
2,9,0.002465158975075011,0.9984188528392365,0.9999999985143923
3,0,2.7953960507508526e-09,0.29293823807689795,0.5275467281924515
3,1,0.00020224014541527302,0.8579326051654419,0.289227473693577
3,2,6.613624485866881e-14,0.6947499964551099,0.31906330700750185
3,3,3.801815811118949e-09,0.21075635506496326,0.5126853974283617
3,4,2.567012771742481e-13,0.22262650381091784,0.48759792463581975
3,5,3.872548446950089e-09,0.2990626740158268,0.4932456784795869
3,6,5.909696510687004e-12,0.7194932996470772,0.3555266572495261
3,7,2.5288741370868845e-13,0.567105783897158,0.4043882810053147
3,8,2.0357680497189616e-05,0.9216448477253802,0.31480343565522717
3,9,9.008301332339476e-06,0.8916462776161251,0.31450124176175615
4,0,0.7788143724497206,0.01160849175261778,0.9999999972991109
4,1,0.8049262948828982,0.01134826809899914,0.9999999982107942
4,2,0.7563809290477365,0.011907940718048429,0.9999338930386481
4,3,0.761269173661725,0.011241923642001701,0.9999999999998224
4,4,0.7637009768352169,0.011059094555124356,0.9999338930386481
4,5,0.7595006098116924,0.012390922029271634,0.9999339346909321
4,6,0.819775578477482,0.011948870209291617,0.9999999971892579
4,7,0.738389552516484,0.011609029303675826,0.999999997566553
4,8,0.7904415978572991,0.011686081078777805,0.9999999974335819
4,9,0.7728996528275038,0.01082310063658276,0.9999999975299312
5,0,0.0013310189081352456,0.9990682061099424,0.9999909493177236
5,1,0.0012220217051167445,0.9999338930386481,0.9999338930386481
5,2,0.006176249692223147,0.9999668389375709,0.9999999973142243
5,3,0.0019248830648394314,0.9999338930022166,0.9999999976667013
5,4,0.001225642534081204,0.9999338930386481,0.9999338930386481
5,5,0.00933444042418154,0.9999414945929583,0.9999999972991109
5,6,0.0012346226966569486,0.9999338930386481,0.9999338930386481
5,7,0.002241065903294785,0.9999958097318983,0.9999999977330568
5,8,0.0017997791981061266,0.9981443004989674,0.9999912177968605
5,9,0.01228378908414055,0.9999456556872656,0.9999999972991109
6,0,0.00033306300831341916,0.9999340157284594,0.7388391151102168
