simu_idx,session_idx,T1,T2
0,0,0.061587889857997034,1.624283498734112
0,1,0.09594972258064681,1.096579175597598
0,2,0.07750106174234325,1.4847722477930192
0,3,0.07853918159974002,1.5504551339982102
0,4,0.010908392329451982,1.5442306787503148
0,5,0.13661005093168777,1.0896133772040935
0,6,0.112284679844612,1.2522226295146832
0,7,0.21824415152718737,1.1456107831625832
0,8,0.17260112261905547,1.350461606112487
0,9,0.1233031919146163,1.3499948690291343
1,0,0.14905439762421266,1.4050289226989563
1,1,0.03753998083423041,1.7839377938126688
1,2,0.11031059156859788,1.8253664712876294
1,3,0.2401814615710397,1.215175714597999
1,4,0.110446427681788,1.3495752188845465
1,5,0.18225799175681345,1.2321909187580717
1,6,0.024478847353047804,1.820732877570339
1,7,0.11902183796889339,1.3557671527835549
1,8,0.13443095173316652,1.4045629936265582
1,9,0.11873053478823654,1.2462905514858913
2,0,0.1090517824339548,1.7849007490062103
2,1,0.18256175648930476,1.2009269466762105
2,2,0.15403858816555904,1.2251222513421902
2,3,0.10462100030215837,1.3672725324630661
2,4,0.23990826960173015,1.2042551676749675
2,5,0.18882523088809622,1.1077116424444364
2,6,0.13937117622105355,1.2105942268410017
2,7,0.344688174915632,1.0722201899883088
2,8,0.16363843603043815,1.1105391070916781
2,9,0.018758925339378653,1.9218523568981487
3,0,0.3971235838659421,0.837265340228635
3,1,0.1857949922593125,1.4603649089750428
3,2,0.25060428843060945,1.2137786414970022
3,3,0.420704411311035,1.2496356479720059
3,4,0.3163166823576977,1.2620873544701987
3,5,0.16582615883842208,1.3645257382106717
3,6,0.07204797998123831,1.4367105640446147
3,7,0.1430145172243363,1.1175880903403523
3,8,0.1208322305089336,1.5051033011622672
3,9,0.1577210141997955,1.3789082457951085
4,0,0.07750990622133623,1.4493588092582612
4,1,0.034497121399881314,1.3598447626087826
4,2,0.0728439965423401,1.4202451650657466
4,3,0.04020771239741769,1.369813176750367
4,4,0.05341838119909782,1.03985740811964
4,5,0.022860788461369262,1.6025019680135444
4,6,0.06338310513410314,1.424735670198311
4,7,0.0657376375164511,1.4380713803650333
4,8,0.06533493004381097,1.48089538697158
4,9,0.0653464839451309,1.436000298572189
5,0,0.17612387380806366,1.111346369256425
5,1,0.1760746588843114,1.1471878169744552
5,2,0.17606402339174096,1.0863844837479188
5,3,0.25107497429333314,1.1208026185408473
5,4,0.16395237398971838,1.1124911725867384
5,5,0.19078006542454504,1.0912387762256681
5,6,0.19021366456617625,1.1232625184942269
5,7,0.1898297578859667,1.2123922860349068
5,8,0.12918541306503115,1.2727455087173931
5,9,0.18981593185704754,1.2151038604881816
6,0,0.06926985255533966,1.4863753609925041
6,1,0.23928351094911918,1.1261742931654102
6,2,0.10441433186050972,1.3275312369088486
6,3,0.11625447064714117,1.3293144457405264
6,4,0.08618205247760383,1.5487168707412655
6,5,0.02646176637364086,1.5063730180743193
6,6,0.08397264860703775,1.5025611977430247
6,7,0.08347758782871928,1.512116548295937
6,8,0.12063232710700786,1.3318906450991732
6,9,0.018937362497357304,1.5126299741482918
7,0,0.032622927952456804,1.5781463328913223
7,1,0.03909413213673691,1.5799309792835772
7,2,0.20682463614255947,1.0717453332007076
7,3,0.18193994536090535,1.203392324841968
7,4,0.11877034401325214,1.4079121002054198
7,5,0.13054273181101197,1.2337863928438084
7,6,0.4356572259882121,0.8052476151800043
7,7,0.19726862165164916,1.051330990696407
7,8,0.02458575991159799,1.6439032254235395
7,9,0.07609924263553694,1.510423205854718
8,0,0.11581518162923096,1.6465360059221905
8,1,0.14654327107573534,1.839951847225397
8,2,0.12056836426034895,1.5618620664871472
8,3,0.11895085699575869,1.5773890395571177
8,4,0.3037334274622161,1.842272032192642
8,5,0.1839654985531748,1.8040396161472452
