simu_idx,session_idx,Kp,Ki,Kd,lamda
0,0,0.9999735417318028,0.18328363756693616,-0.9960251833607271,0.9895250602538109
0,1,0.7502751943179284,0.10641601611845192,-0.7458173598225546,0.9936164353845431
0,2,0.9884559796268303,0.14478806297724423,-0.9999992606079866,0.992627430185628
0,3,0.9981842835885976,0.13475756306851888,-0.9999999998887189,0.990872863421961
0,4,0.8093467145480228,0.09104244870531039,-0.7789044686400558,0.9955251217948379
0,5,0.999985574907878,0.11235991927242282,-0.986242562567052,0.995125798985669
0,6,0.9992563369472177,0.15269831040973933,-0.9999999999310502,0.9923921291370993
0,7,0.9596176054671759,0.1410898783386522,-0.9999999999887272,0.9926302985270515
0,8,0.796742975070615,0.08554661874115754,-0.7591834807232163,0.9963350759074983
0,9,0.9999743215745588,0.12461783983157161,-0.9999999999995378,0.9927307614692455
1,0,0.625117849557843,0.9999613802131327,-0.9999581991396745,0.9535584008465905
1,1,0.48098364543490335,0.9999516081623094,-0.9409753464326532,0.9491067069728433
1,2,0.6191576254089747,0.9999516205645443,-0.999951620635778,0.952461856420481
1,3,0.6186511239799367,0.9999516206358231,-0.9999516206358215,0.9540317419758779
1,4,0.624987626484325,0.9999999999998888,-0.9999516208599265,0.9541800711497104
1,5,0.6263405439036904,0.9999516206084131,-0.9999516206357987,0.958579463983695
1,6,0.6177138795191717,0.9999516206358117,-0.9999516206358153,0.9529737151039908
1,7,0.6261839048013992,0.999999999999885,-0.9999516207214645,0.9524154063864224
1,8,0.4723473235113232,0.9999741496812683,-0.9999999983443525,0.9497520672949175
1,9,0.6194340796374201,0.9999516211644607,-0.9999999999999584,0.9534132023397955
2,0,0.06798789876451432,0.7614406685890788,-0.6745003319130101,0.9805576375853576
2,1,0.1989562806579015,0.8149358424612041,-0.8168468685496227,0.9819753402316791
2,2,0.21687321865893874,0.798545908873991,-0.812223924241799,0.9811484567949265
2,3,0.1476314775781851,0.7730814521946453,-0.7468530144172604,0.9811770218180529
2,4,0.17610504341788052,0.8257291496080172,-0.7955541517582666,0.9809405272557288
2,5,0.19951774444305265,0.7848196922961845,-0.7917775154713425,0.9814371247678186
2,6,0.14575478769190867,0.8688528546422053,-0.8144219107360627,0.9850727890659863
2,7,0.1891587700514848,0.7787857133923617,-0.7859475111765996,0.981589607369704
2,8,0.0758265712652894,0.7654012907324643,-0.6932385398088619,0.9809030012935186
2,9,0.18510551550964197,0.7779050612451927,-0.7791312653761413,0.9808212621732476
3,0,0.5651910470604375,0.9999367947847656,-0.9999516206358073,0.9578916339422777
3,1,0.5646067742809753,0.9999999999999745,-0.9999516208461139,0.9577058930669946
3,2,0.5407845832251567,0.9999999999999922,-0.9999516206358109,0.9377864114555555
3,3,0.6417247505798865,0.9999978189098665,-0.9999516206346848,0.945667178621322
3,4,0.5451900720640221,0.9999999999950802,-0.9999516206358109,0.9425579734838893
3,5,0.5473372267194683,0.9999999998211915,-0.9999516206357921,0.9429024703165122
3,6,0.5511633672917058,0.9999999999999709,-0.9999516207006383,0.9504034257246263
3,7,0.5356214052251088,0.9807368563426557,-0.9999516206358001,0.9449122039803727
3,8,0.30836945352303186,0.9999593448139567,-0.8297921518283441,0.9407751986119902
