simu_idx,session_idx,p_c
0,0,0.016114838269219663
0,1,0.01581934252717465
0,2,0.01567421503434962
0,3,0.015797277714513693
0,4,0.015993482595600867
0,5,0.01596659306793128
0,6,0.016108542658686255
0,7,0.01621301691902398
0,8,0.016484720215852677
0,9,0.016002794659830195
1,0,0.019598936363242687
1,1,0.018895487609365075
1,2,0.019176768754070362
1,3,0.01924008822203323
1,4,0.01946630267570144
1,5,0.01905052926811442
1,6,0.019098357173826217
1,7,0.019546455551750157
1,8,0.019222150669534404
1,9,0.01932586858668579
2,0,0.020113611407272903
2,1,0.020147861508302157
2,2,0.02059900772453662
2,3,0.018860543344682377
2,4,0.020152756348227392
2,5,0.020446948755666796
2,6,0.019584755629744457
2,7,0.020313736716877983
2,8,0.019916687567000945
2,9,0.018996217003370515
3,0,0.022482590666993686
3,1,0.024167720548213607
3,2,0.023383487373681594
3,3,0.022353982980264156
3,4,0.02287290373974312
3,5,0.023136884236940564
3,6,0.022974415309145332
3,7,0.02316949179995924
3,8,0.024714069525127166
3,9,0.023270124783700004
4,0,0.015625504727970984
4,1,0.016014612558744527
4,2,0.015435724784267893
4,3,0.015905469267252663
4,4,0.016690936789504264
4,5,0.01579811451763358
4,6,0.015614802597632657
4,7,0.015306292050589006
4,8,0.015785545723397177
4,9,0.01545263018282899
5,0,0.02785473651824806
5,1,0.02927066555388426
5,2,0.028088344312809262
5,3,0.02848661172657767
5,4,0.028679154056521505
5,5,0.02868942148567606
5,6,0.02941044606444456
5,7,0.028663741500551353
5,8,0.02810312269012793
5,9,0.028295077708072568
6,0,0.015528015102891713
6,1,0.015492278991913834
6,2,0.015504065922665395
6,3,0.016461052617445047
6,4,0.01611872177118754
6,5,0.016046938987404672
6,6,0.01656584300783783
6,7,0.0161616804001885
6,8,0.016132124144390296
6,9,0.015519078531467338
7,0,0.020166895240543315
7,1,0.020339328870279214
7,2,0.020149458564981147
7,3,0.02009596057390117
7,4,0.020990412146093484
7,5,0.019460271819013688
7,6,0.020949406925432873
7,7,0.020586037197107394
7,8,0.021152171743157415
7,9,0.02096815508553582
8,0,0.016473342144731944
8,1,0.017570486095389644
8,2,0.017503903632023612
8,3,0.017381142968997985
8,4,0.016847576385063408
8,5,0.01730924454174378
8,6,0.017608464629073804
8,7,0.017603515766744186
8,8,0.017094428726039564
8,9,0.017662732379293018
9,0,0.020977556165552465
9,1,0.021569422290671308
9,2,0.020813965581152585
9,3,0.020763282477047684
9,4,0.02173259194402548
9,5,0.020412838279424115
9,6,0.02078579603966256
9,7,0.02100486246575274
9,8,0.02144278853538005
9,9,0.021126551841349792
10,0,0.027151002984571515
10,1,0.02699855107311869
10,2,0.02722230544133592
10,3,0.027475303211254156
10,4,0.02638312474973659
10,5,0.02677497140106507
10,6,0.026003021733592063
10,7,0.027619966720711604
10,8,0.027123403530286236
10,9,0.026041197684683975
11,0,0.02150522841479151
