simu_idx,session_idx,p_c,lamda
0,0,0.08962331047730807,2.9127876146201455e-12
0,1,0.0891505271689058,5.143894737451013e-05
0,2,0.08953707594807743,3.887928138690631e-08
0,3,0.08876234002596207,4.3881538669193895e-05
0,4,0.08853109232575113,4.545569656414262e-12
0,5,0.08784657786578594,5.8184548674133395e-11
0,6,0.0893453636415495,5.5809694500066926e-05
0,7,0.08966825371726432,7.137539622779005e-15
0,8,0.08760521341714116,2.201460642023401e-09
0,9,0.08889054477228484,1.817009824391229e-11
1,0,0.10143996617910239,5.486582286236925e-05
1,1,0.10194719945242361,6.689665030034891e-05
1,2,0.09826626868510753,8.69642150644127e-11
1,3,0.10175920111258029,2.4234080676544355e-08
1,4,0.10134324070585671,3.502483620010849e-08
1,5,0.09904567970055346,3.888891124273833e-11
1,6,0.10178988966069585,9.294292855015496e-12
1,7,0.10163903802042189,9.028688914437008e-05
1,8,0.10110604274003428,4.5067655431768146e-12
1,9,0.10169862808331524,6.038446310566054e-12
2,0,0.10055812336247681,2.7233637206023446e-07
2,1,0.09998293375378915,3.8750102436830326e-05
2,2,0.10005981734938417,4.804831327793355e-07
2,3,0.09759971604661521,9.232942001398403e-08
2,4,0.10050015434150522,3.9231749963756107e-05
2,5,0.09969285111929257,5.6262710060475015e-12
2,6,0.09964359440626984,4.808801809098148e-07
2,7,0.10060946396632847,3.2402384381128475e-11
2,8,0.09893201595594452,7.05469514791989e-11
2,9,0.09882861233286924,1.4575670784592092e-10
3,0,0.13004712564498228,0.0017391645049425603
3,1,0.1308279095700061,2.8131020887153585e-09
3,2,0.1303321582177715,4.165451211076408e-09
3,3,0.13092183353722084,5.4180591739407934e-08
3,4,0.13053354888835705,1.3523429002738592e-11
3,5,0.13112840463918554,3.842864152516249e-08
3,6,0.13064359293086125,0.00011036910453651165
3,7,0.13112614877715045,4.677574254468815e-12
3,8,0.1287456666287782,6.315061227639396e-07
3,9,0.13118780181023884,1.3265966476394984e-11
4,0,0.09846273001504259,3.3616285601638267e-12
4,1,0.09832611370902303,2.37744790073505e-11
4,2,0.09724642135494775,2.5303142391588027e-07
