simu_idx,session_idx,lr
0,0,0.00030171237979313866
0,1,0.000579641589065407
0,2,0.00041230242984621144
0,3,0.0007307305900141488
0,4,0.000360669659844857
0,5,0.00019472482089190124
0,6,0.00011387154321154029
0,7,0.0008928920788448065
0,8,0.0006135902964890172
0,9,0.0004936899982500857
1,0,0.00010000393268029224
1,1,0.0001000000000967926
1,2,0.00010000000009588792
1,3,0.00010000393268029224
1,4,0.00010000000009592341
1,5,0.00010000393268029224
1,6,0.00010000000009538621
1,7,0.00010000000000005947
1,8,0.00010000393268029224
1,9,0.00010000393268029224
2,0,0.37296393509027576
2,1,0.3733685733095737
2,2,0.37250604750358324
2,3,0.37111829611317076
2,4,0.37133105467311217
2,5,0.3712129613730396
2,6,0.3723203888544784
2,7,0.37234743835190054
2,8,0.37135041553699677
2,9,0.37095710166337037
3,0,0.00010000393268029224
3,1,0.0001000000000967926
3,2,0.00010000393268029224
3,3,0.00010000198557854237
3,4,0.00010000393268029224
3,5,0.00010000000009538621
3,6,0.00010000393268029224
3,7,0.00010000393268029224
3,8,0.00010000000009522139
3,9,0.00010000393268029224
4,0,0.001548214219196614
4,1,0.00072703915977659
4,2,0.001037873982091246
4,3,0.000731301448028243
4,4,0.000649831742304603
4,5,0.0010976304544728839
4,6,0.0006961167777859709
4,7,0.0010292810005825262
4,8,0.0012980333147496993
4,9,0.0011097240771704637
5,0,0.0015682317270025138
5,1,0.0017939155812493732
5,2,0.0014559248927478573
5,3,0.0016214187663530896
5,4,0.0016151916923362252
5,5,0.001812785794046614
5,6,0.0014331920833632777
5,7,0.0015148111728539413
5,8,0.0020987432358833473
5,9,0.001678517973573371
6,0,0.00188363013887315
6,1,0.001234290822262003
6,2,0.0012245977852496403
6,3,0.0012853227583273295
6,4,0.0016304136636263653
6,5,0.0012236308595341685
6,6,0.001549379289988667
6,7,0.001345143525248865
6,8,0.0012691110134430048
6,9,0.0012667974383483154
7,0,0.00010000393268029224
7,1,0.00010000000009537293
7,2,0.00010000393268029224
7,3,0.00010000393268029224
7,4,0.00010000393268029224
7,5,0.00010000393268029224
7,6,0.00010000393268029224
7,7,0.00010000393268029224
7,8,0.00010000393268029224
7,9,0.000100000000095898
8,0,0.0006190581368842671
8,1,0.001602988669569616
8,2,0.0009930978230405542
8,3,0.0006118993696711875
8,4,0.0008264917598989105
8,5,0.000682403879348336
8,6,0.00037434456569442927
8,7,0.0007675933084213735
8,8,0.000820167378150703
8,9,0.0006917471123460148
9,0,0.548010863837813
9,1,0.5472571736562756
9,2,0.5476416411270647
9,3,0.5463523814067696
9,4,0.5456052285295953
9,5,0.5471300995792359
9,6,0.5488251273018859
9,7,0.5483286069334377
9,8,0.5496243870005254
9,9,0.5480208378973528
10,0,0.000605668044912647
10,1,0.001040765241517715
10,2,0.001085320189563617
10,3,0.0010187279762344302
10,4,0.0007508866569820998
10,5,0.000863812006055474
10,6,0.0008550313847323501
10,7,0.0008472820373419107
10,8,0.001013460975630592
10,9,0.0009251136529523502
11,0,0.0018781687819416058
11,1,0.0010240988034275452
11,2,0.0010095173579217026
11,3,0.0010953039929215893
11,4,0.0010677792176256808
11,5,0.0013259242230286455
11,6,0.0009181871307457614
11,7,0.0008913993027900148
11,8,0.0010664755295429786
11,9,0.0011767654613771678
12,0,0.4007303860478308
12,1,0.39831119246643204
12,2,0.3967748209216699
12,3,0.39538394283279066
12,4,0.398152382800743
12,5,0.3930270389855
12,6,0.4007291159120469
12,7,0.399657800927131
12,8,0.3950832653048306
12,9,0.40069599476862394
13,0,0.2091347937488558
13,1,0.20909429978379554
13,2,0.20924238005849854
13,3,0.20886278520134097
13,4,0.20916814201087236
13,5,0.20969704057485053
13,6,0.20787403595464693
13,7,0.20836676740874488
13,8,0.20813881185957658
13,9,0.2090329714759198
14,0,0.00010000393268029224
14,1,0.00010000393268029224
14,2,0.00010000393268029224
14,3,0.00010000393268029224
14,4,0.00010000393268029224
14,5,0.00010000393268029224
14,6,0.00010000393268029224
14,7,0.00010000393268029224
14,8,0.00010000393268029224
14,9,0.00010000000009577439
15,0,0.00010000393268029224
15,1,0.00010000393268029224
15,2,0.00010000000009592333
15,3,0.0001000000000952982
15,4,0.00010000000000005947
15,5,0.00010000000000005947
15,6,0.00010000393268029224
15,7,0.00010000000009526839
15,8,0.00010000393268029224
15,9,0.00010000000009538621
16,0,0.15436287732818282
16,1,0.1560782155013123
16,2,0.15381666940574532
16,3,0.15597099548402923
16,4,0.15595435298394436
16,5,0.15560231067799854
16,6,0.15843097649609714
16,7,0.15722392363800805
16,8,0.1539679683048751
16,9,0.15764105256491442
17,0,0.0003636304646836773
17,1,0.0004893152382158605
17,2,0.00025815506966930877
17,3,0.0008698127663975815
17,4,0.0006133470390999099
17,5,0.0003640759464263945
17,6,0.000312919570454698
17,7,0.000756513008912449
17,8,0.00020944347410815068
17,9,0.0004168249657947
18,0,0.21491595748321649
18,1,0.216574277741441
18,2,0.21722992953642162
18,3,0.21575823145680323
18,4,0.2161107939149149
18,5,0.21381480954917448
18,6,0.21245338458844787
18,7,0.21484169057271837
18,8,0.21273756618343337
18,9,0.21659739260960056
19,0,0.17378673063392866
19,1,0.17389908473720292
19,2,0.1734412908441173
19,3,0.1745552583255652
19,4,0.17398386802179672
19,5,0.17454867662055473
19,6,0.17399603805988872
19,7,0.17510594868939286
19,8,0.17344151069627425
19,9,0.17395181443799274
20,0,0.12962108805283973
20,1,0.13032290266798985
20,2,0.13389639868983727
20,3,0.12818525663073663
20,4,0.13207391026382578
20,5,0.13634519867380204
20,6,0.13002757663463702
20,7,0.13023576198972148
20,8,0.1343282789489675
20,9,0.1315289525762266
21,0,0.027061669494636155
21,1,0.02707943232598653
21,2,0.02698138477045796
21,3,0.02704967949338224
21,4,0.027517445770509744
21,5,0.027010965363657616
21,6,0.027282957140659925
21,7,0.026863942744114
21,8,0.026970881397116238
21,9,0.027214471806095694
22,0,0.0015558919471365174
22,1,0.0012982040194836043
22,2,0.0013047773593294625
22,3,0.0012851017571716816
22,4,0.0014110184083907147
22,5,0.0015538903720329923
22,6,0.0014649518484189637
22,7,0.0012835472778761263
22,8,0.0013923784361316222
22,9,0.0013047835709039935
23,0,0.0015054965695552027
23,1,0.0016101354369640244
23,2,0.0017620088715298455
23,3,0.0016073738295601027
23,4,0.001225815823562763
23,5,0.0016821512096979853
23,6,0.0012824110668479066
23,7,0.0016905180079740424
23,8,0.0011809905989162619
23,9,0.0012433006199366583
24,0,0.00010000393268029224
24,1,0.00010000000009538621
24,2,0.00010000000009538621
24,3,0.00010000393268029224
24,4,0.00010000393268029224
24,5,0.00010000000009536912
24,6,0.00010000393268029224
24,7,0.00010000000009538621
24,8,0.00010000393268029224
24,9,0.00010000000009592341
25,0,0.00010000393268029224
