simu_idx,session_idx,lr,weight
0,0,0.14069067661279708,4.4266278169142525e-05
0,1,0.13748248066326454,2.076799771333849e-08
0,2,0.13310852309132004,8.774501022222717e-16
0,3,0.1374834058887082,1.1320271112402576e-08
0,4,0.13748244902526127,2.0960455541259814e-08
0,5,0.1378476217899879,6.45648631550316e-05
0,6,0.13748332918715075,1.1228289442717386e-08
0,7,0.13505267633346227,9.033411846130653e-16
0,8,0.13748259432617654,2.011050396872656e-08
0,9,0.1374843022720841,2.782044055902254e-16
1,0,0.24771092820695587,4.052757248598759e-15
1,1,0.24767756173299177,6.442878192323126e-05
1,2,0.24771092820667148,1.8898710038219056e-16
1,3,0.24771092820667165,2.427787261881395e-17
1,4,0.24771092820666538,3.9472039099088755e-16
1,5,0.2477109282066643,3.2191846878478403e-16
1,6,0.24771092819352453,4.192771547794202e-13
1,7,0.2477109282066608,2.403621028465149e-16
1,8,0.24771092820666887,3.650381486506515e-17
1,9,0.247710928206504,6.223625967530322e-15
2,0,0.11075202696332988,3.366064818504742e-05
2,1,0.10922305486231286,1.5859715327815375e-08
2,2,0.11038761748452,3.023260215678514e-05
2,3,0.109224625172008,1.327434686935028e-16
2,4,0.10556055554305242,6.790771650612427e-05
2,5,0.10922462513570629,4.936857257739418e-15
2,6,0.10922314423132291,1.3622285000018629e-08
2,7,0.10922305875440923,1.4888449287762184e-08
2,8,0.1092233623124515,1.2103639702114612e-08
2,9,0.10922462517203443,5.563614249953591e-17
3,0,0.17482906236891996,5.361294908092377e-05
3,1,0.17446784285325903,1.994222132962772e-08
3,2,0.1744696642933282,5.939572302750653e-15
3,3,0.17446772172566538,2.1723443281858e-08
3,4,0.1744674970471196,2.3461921397359514e-08
3,5,0.17368853032513346,7.090958814888801e-05
3,6,0.17371498911575708,7.084645420483655e-05
3,7,0.17446966444850465,1.7214906046551828e-16
3,8,0.17432572664680054,6.016879495696495e-05
3,9,0.1736705416040463,7.086985506335393e-05
4,0,0.27361438083150724,6.775327875117874e-05
4,1,0.27393399610494584,4.0716205117042025e-05
4,2,0.27378596425192847,3.331799472810872e-16
4,3,0.2737859642519102,4.10831413121047e-16
4,4,0.2737859642519161,1.2772922217581466e-15
4,5,0.27379272562111695,4.6432710735144345e-08
4,6,0.27378596421275386,2.18273555177474e-12
4,7,0.27393032611935614,6.35979204186319e-05
4,8,0.27400578636901723,5.3560563860895125e-05
4,9,0.27378596425185536,1.1614603381408878e-15
5,0,0.3255520135959282,0.18664337941838127
5,1,0.3344811021948934,0.1989407985068766
5,2,0.4786928408797359,0.1833187983319796
5,3,0.32533606615634814,0.17967593226808065
5,4,0.4808852083968195,0.18801953611489733
5,5,0.47349336878734194,0.19005106718965528
5,6,0.33183809539723247,0.18165615664172916
5,7,0.4623588266675575,0.18891222580357064
5,8,0.33719444221518646,0.1885336523435457
5,9,0.3130279206889246,0.1835379256355441
6,0,0.2776950484770188,1.9233442196755123e-10
6,1,0.2779767310830253,6.440762603394663e-05
6,2,0.27769505937317646,1.4988344248796915e-15
6,3,0.2776950593730969,4.1054963168885535e-15
6,4,0.27769505937313826,1.6253647709244203e-16
6,5,0.2776950593731129,6.013877006892027e-16
6,6,0.27769470212924907,2.6491076281269833e-08
6,7,0.27842014495418305,5.941144809013925e-05
6,8,0.27767788840367347,5.049742709974714e-07
6,9,0.27752168365750723,6.739724150681007e-05
7,0,0.19719377093439336,2.3051254008479025e-08
7,1,0.1971951404058456,3.0313504081144573e-16
7,2,0.196983752716149,6.813517301792144e-05
7,3,0.19736880385655767,5.978889561478402e-05
7,4,0.19752679959801558,4.7183053270628555e-05
7,5,0.19719288260352047,3.763927255698648e-08
7,6,0.19749762866361315,5.1091850555429476e-05
7,7,0.1967304261279842,6.947670919555101e-05
7,8,0.19694747184306546,6.81485983071004e-05
7,9,0.19648759077755262,7.019043178189617e-05
8,0,0.040879628391420626,5.050612626610952e-15
8,1,0.04087962833370148,6.464286813064094e-13
8,2,0.04288505749515865,5.435737135357194e-05
8,3,0.040879628430134506,6.105270213953938e-16
8,4,0.04612258144203768,2.7436358695059725e-06
8,5,0.04087962843313287,9.972486041329395e-16
8,6,0.04087962836191971,5.100265436183619e-13
8,7,0.04087962831064171,6.104679922767877e-16
8,8,0.04087962833640171,3.16385498559361e-15
8,9,0.04087962827460507,1.1102602900531854e-12
9,0,0.4462901841182287,0.23737285542863418
9,1,0.44821022313538356,0.22601697336476415
9,2,0.4463046419348447,0.24178096280435107
9,3,0.4544507389763731,0.22553735492514237
9,4,0.5413988572926454,0.23267237232590182
9,5,0.471997194403215,0.23110242742417264
9,6,0.4652908262916368,0.24362648355667804
9,7,0.44114027866397776,0.23267639228537404
9,8,0.44262078379627645,0.22918298026540185
9,9,0.44761271429366123,0.23339154611222265
10,0,0.06507354837959271,2.821648475474157e-11
10,1,0.06507355235058886,4.64738246342209e-16
10,2,0.06507355215255971,1.395155774633972e-12
10,3,0.06507355235064716,6.320956788508578e-17
10,4,0.06507355235040305,1.793779335134406e-15
10,5,0.06507355235005058,4.129574799238296e-15
10,6,0.05642500014518573,8.61944486257376e-05
10,7,0.06507355235065747,1.7972977465075334e-17
10,8,0.0650735520504381,2.0372267466450814e-12
10,9,0.06507355215964536,1.2899205257192333e-12
11,0,0.38942303661814814,0.25847672856720094
11,1,0.3914601221085605,0.26173641623998356
11,2,0.40509646334016386,0.26557462164974543
11,3,0.39928818046162107,0.26420783866981196
11,4,0.3900342539834592,0.2624877991077302
11,5,0.40393101602628223,0.26672418077737103
11,6,0.4038342998413305,0.25829682790734565
11,7,0.49309193343177726,0.2633371375135323
11,8,0.40331616637146045,0.2621788473090834
11,9,0.4163806981926479,0.2639481240270199
