simu_idx,session_idx,lamda,omega,v0
0,0,0.9999572575024334,5.853533417463318e-07,0.010845503899076275
0,1,0.46693478981138653,6.610110995531353e-05,0.00011807879709502116
0,2,0.999950401726404,1.1738409318430333e-06,0.009703983833758433
0,3,0.9999338930387723,3.598714113167627e-06,0.001256186581093533
0,4,0.3587333999073022,6.515603371770503e-05,0.9999999999988531
0,5,0.37682311426952864,7.503695697321089e-08,0.0052712900761574775
0,6,0.9988936656585266,1.3169616581606972e-07,6.610696144562368e-05
0,7,0.34917135203689054,5.401516502286515e-06,0.0027901298172631124
0,8,0.26869738786579017,6.592910043539821e-05,8.690080727441179e-05
0,9,0.34380744419578163,6.610696135189607e-05,6.610696135189607e-05
1,0,0.43159147956872435,7.535972761731297e-05,0.002203257228633147
1,1,0.01918058451431349,6.97272612846508e-06,6.610696122597983e-05
1,2,0.9999647557305613,5.982822818579318e-14,6.610696036708544e-05
1,3,0.9999341865611179,1.2494434262011385e-13,6.610696135081469e-05
1,4,0.38826826074217763,6.801901717164457e-05,0.00020909801435779974
1,5,0.16808435661287735,7.248721085132315e-05,0.0002534102944163307
1,6,0.6006677132369014,6.689842296471628e-05,0.00019123991216844004
1,7,0.9999385047630116,5.945333389967372e-14,6.610696135189606e-05
1,8,0.04835253253458622,5.829545850538713e-05,0.00010122914665725398
1,9,0.7463209604798782,6.752017807323035e-05,0.0003254418211266319
2,0,0.0030786064504286395,0.9999338930386481,0.9999338930386481
2,1,0.0020158242826281703,0.9999577722705693,0.9999338788144543
2,2,0.003360291911996088,0.9999338930429029,0.9999999984913523
2,3,0.003743594384077632,0.9999338930386481,0.9999338930386481
2,4,0.001210275635481456,0.9999338930386481,0.9999338930386481
2,5,0.0017654350824494248,0.9999812342779246,0.9999338587239279
2,6,6.30192041159791e-05,0.9999999973567785,0.9999456757710344
2,7,0.0037194414390227335,0.9999488960698687,0.9999338839637939
2,8,0.00419155104494442,0.9999338930556245,0.9999999999999126
2,9,0.003731386142401632,0.999959172999611,0.9999338734478959
