simu_idx,session_idx,T1,T2
0,0,0.08803533791917627,1.9213135964379073
0,1,0.052174774855086634,2.1165999343944737
0,2,0.1628755941679213,1.3790291445664422
0,3,0.07744829994878019,1.9334045755092462
0,4,0.2450822075084939,1.146100466647703
0,5,0.3020015582617138,1.1095964859649534
0,6,0.0547439489711791,1.9042424035554375
0,7,0.13159791695970377,1.3416721509031246
0,8,0.12538534949200522,1.512608368962013
0,9,0.12885604088779584,1.341802722271461
1,0,0.1068854727192506,1.3781394696014182
1,1,0.08952282645772583,1.3726466828156327
1,2,0.0573475860215353,1.4001887481779816
1,3,0.3007949449681211,1.1153039078660778
1,4,0.0877192498755027,1.5395951025990495
1,5,0.21194195040355,1.2746598157014284
1,6,0.0894407641189969,1.3787370139571096
1,7,0.08993822087796043,1.3691757479603752
1,8,0.05169691345464325,1.4584578561296877
1,9,0.18770389958407263,1.151468244884923
2,0,0.015233141504761715,1.9605679286772584
2,1,0.03832611919441324,1.5228518898052357
2,2,0.15269751121201905,1.392199014567222
2,3,0.0217853253482253,1.531386941585302
2,4,0.121820672019502,1.8965287852589765
2,5,0.035679447887171034,1.5155764334882373
2,6,0.12406894776513339,1.7766547273298556
2,7,0.06180837245413784,1.5097814527757474
2,8,0.1622228251480081,1.5522943618586211
2,9,0.16158587740846372,1.5508731181925388
3,0,0.03644105612885642,1.8045239939259656
3,1,0.3790017500872418,0.9893993028840815
3,2,0.3159591324013888,0.9340432856327402
3,3,0.3499831195980086,0.9511617159957724
3,4,0.33750531154182767,1.1156208113364183
3,5,0.03139781377017081,1.6766920354070625
3,6,0.47489881243561793,0.8188817405883422
3,7,0.21859773602563617,4.865795307255862
3,8,0.3645146193408867,1.1306704899621554
3,9,0.038562034154369824,1.505447691982505
4,0,0.06991786286272081,1.752521994955209
4,1,0.30297398613773574,1.023088560226118
4,2,0.1375473330544953,1.5847489428295936
4,3,0.11854769172214603,1.5060686595736674
4,4,0.09663888230071396,1.4319218582977886
4,5,0.11784311504611522,1.600869138724085
4,6,0.2916232725836369,1.043530528159074
4,7,0.08774442430290734,1.4999937152748213
4,8,0.08775399951444621,1.497453276584049
4,9,0.2994773566598517,1.0242893217588607
5,0,0.18848793142091588,1.1295720019406623
5,1,0.11472241257442478,1.3822619527533884
5,2,0.0807289016591218,1.4554943829406186
5,3,0.12368721970115382,1.2456202083512669
5,4,0.07982168399774173,1.3553125307304916
5,5,0.4143753471858066,0.6133443922048404
5,6,0.07979602959767046,1.2790785626802759
5,7,0.47825845730841765,0.7815096577456827
5,8,0.10100919671780177,1.3145258591663873
5,9,0.31380063232700256,0.9456755460007309
6,0,0.11828899204834424,1.1310498876680395
6,1,0.07831921032190625,1.2788083678315685
6,2,0.1906531897535013,1.096741126064606
6,3,0.03854332669857206,1.6199473714436812
6,4,0.18940485472442703,1.0627135857051604
6,5,0.05229890746206291,1.8043683106751705
6,6,0.05226180373039345,1.324608079522215
6,7,0.04466719624509423,1.5581575928127638
6,8,0.047259039722661184,1.5133055828252273
6,9,0.03621446089122292,1.517522332789741
7,0,0.0859824833509509,1.5838200280286634
7,1,0.20143058251956358,1.3009551195659905
7,2,0.1585197001230219,1.348384189559317
7,3,0.08010509902447635,1.4527189604800959
7,4,0.29817645850514946,1.1155515510024938
7,5,0.1692737466220877,1.3829909545094068
7,6,0.07771671768706258,1.4461176537394729
7,7,0.14858214287576516,1.4024390029863785
7,8,0.17861380077273029,1.3770984527110508
7,9,0.0978847269205492,1.6184059394053472
8,0,0.36679155494545174,15.75684245991973
8,1,0.36235913742388565,15.456434681522493
8,2,0.10054193083735757,15.27891850430624
8,3,0.4247648855428016,7.477393620123378
8,4,0.16753337830072276,15.278936123611139
8,5,0.41733769672351423,13.475627418565404
8,6,0.36883911663338154,15.534851346203832
8,7,0.09021190488174549,15.278925140172786
8,8,0.6063043888267526,10.780174425689225
8,9,0.41628334745565926,13.291052403463869
9,0,0.34769915918322863,0.5343753956387105
9,1,0.0722841074171077,1.624663745529594
9,2,0.04208243393089911,1.6306973987401834
9,3,0.10942192626628924,1.1508826609782086
9,4,0.1894048537738859,1.2328618021939566
9,5,0.21371776547467336,1.2188390684684844
9,6,0.1008012740605461,1.4710361731178085
9,7,0.18665888668809338,1.1947315270216905
9,8,0.013951570782188115,1.5892627040898564
9,9,0.05478319909017486,1.6654877057298143
10,0,0.15428364089331173,2.3687434497831346
10,1,0.06379667695297472,1.9507155822603397
10,2,0.22742583800831348,1.4558262740506265
10,3,0.22947770127040062,1.7004283220445418
10,4,0.23350031089763462,1.7709394678394634
10,5,0.3265714439321587,1.4791598216813482
10,6,0.5020637545360332,1.7405951162142492
10,7,0.08099712805550115,2.3681993046918635
10,8,0.08649999003528423,1.796123772827148
10,9,0.13941156803418198,1.7038692471942598
11,0,0.18951397482465188,1.2682490159771194
11,1,0.14068821688812408,1.2172764045704132
11,2,0.24345584891312705,1.2154144097858945
11,3,0.16198448044888014,1.2955565292546878
11,4,0.13724753881813087,1.5343978194789352
11,5,0.13248667748261578,1.09163927213023
11,6,0.1547092251745124,1.2359520544288591
11,7,0.1899703305304965,1.2483284258522982
11,8,0.185617142097542,1.089181771861338
11,9,0.1475554612185446,1.365607269313631
12,0,0.01029331446785944,1.540436028589746
12,1,0.1083727662517876,1.2808807258982384
12,2,0.020356973988278987,1.4834863779272474
12,3,0.07763168123406636,1.31780105969634
12,4,0.18990414127387362,1.0744704337900373
