simu_idx,session_idx,p_c
0,0,0.055164862819453576
0,1,0.05536327051068302
0,2,0.0554718503885671
0,3,0.05458503114461578
0,4,0.05544605442252806
0,5,0.054699769623460404
0,6,0.05578639252793657
0,7,0.0554938721039584
0,8,0.05503108328965797
0,9,0.055128413230795335
1,0,0.05906985274472117
1,1,0.05911711820451982
1,2,0.05861959324093064
1,3,0.05859823237147506
1,4,0.05745304542893354
1,5,0.059201858080325145
1,6,0.05805614831881771
1,7,0.05904888083936646
1,8,0.05974564728292259
1,9,0.058197395814263427
2,0,0.06000497472905361
2,1,0.05811982181417749
2,2,0.05847013348574124
2,3,0.05898020702068217
2,4,0.059100724430039164
2,5,0.05836490766011643
2,6,0.05835601266978413
2,7,0.05913802415125276
2,8,0.059574159112970676
2,9,0.06098801076802301
3,0,0.06987961187260373
3,1,0.07081238577672008
3,2,0.07358873458606803
3,3,0.07018603374748102
3,4,0.06995810519025178
3,5,0.07019305626074307
3,6,0.0753402218668054
3,7,0.07021613851251035
3,8,0.0734479506044137
3,9,0.0712567882453347
4,0,0.05688537602750871
4,1,0.05767507213005414
4,2,0.05625992544502654
4,3,0.05809337774410368
4,4,0.05681729131403516
4,5,0.05623733531996975
4,6,0.0573210587977861
4,7,0.05701940224889201
4,8,0.05753413489244273
4,9,0.05659260077728588
5,0,0.06678758564454712
5,1,0.06828799073560093
5,2,0.06719555523781202
5,3,0.06811730057645315
5,4,0.06705163600689866
5,5,0.06721773966197743
5,6,0.06699821665790831
5,7,0.06760238950669052
5,8,0.06656138427976563
5,9,0.06841745128315574
6,0,0.040478213049374046
6,1,0.041012027073133
6,2,0.040603653138547115
6,3,0.040593195983572056
6,4,0.0408234674391864
6,5,0.04061556873343713
6,6,0.04054642975065088
6,7,0.04069523444770909
6,8,0.04066511345929864
6,9,0.04049582614562142
7,0,0.05738432272807473
7,1,0.05867380120421493
7,2,0.05719645682424705
7,3,0.060544127974855574
7,4,0.05832049601743861
7,5,0.05801551064499778
7,6,0.05867252105305323
7,7,0.05758620312673545
7,8,0.057712239130270196
7,9,0.059132089680686374
8,0,0.06305286206995481
8,1,0.0637014310988178
8,2,0.06274286969235653
8,3,0.06291016383848876
8,4,0.06354075589459167
8,5,0.06377212969259076
8,6,0.06303691984911801
8,7,0.06331347732982509
8,8,0.06258061288581052
8,9,0.06429146640540498
9,0,0.06633030172584628
9,1,0.06516846623519486
9,2,0.06706797638202869
9,3,0.06557168504545484
9,4,0.0653252236333928
9,5,0.06561057425110492
9,6,0.06552748972093601
9,7,0.06566563680393463
9,8,0.06484058128029853
9,9,0.06604153499619697
10,0,0.05873934751407109
10,1,0.05881304124763846
10,2,0.059470768642273956
10,3,0.059032926837081334
10,4,0.05845760744851107
10,5,0.05848087746037419
10,6,0.058171702352082265
10,7,0.059045166840020064
10,8,0.05851681260126977
10,9,0.058153970517756996
11,0,0.04640041100590992
11,1,0.047123122883680556
11,2,0.04716892573614542
11,3,0.04826948431018148
11,4,0.04734936055419691
11,5,0.04714098821065649
11,6,0.04650831490506834
11,7,0.0480014308738615
11,8,0.0472273434002352
11,9,0.047899060164750755
12,0,0.0475091652866913
12,1,0.05002728679687431
12,2,0.050518651320518325
12,3,0.04819443110602846
12,4,0.048960869658162154
12,5,0.05042588745437957
12,6,0.04902948430035476
12,7,0.050393494535416715
12,8,0.04945469559475827
12,9,0.049691466673420386
13,0,0.04344360478634078
13,1,0.042692091390349934
13,2,0.04198974440188536
13,3,0.04267116260301378
13,4,0.042364724732169394
13,5,0.041956973432499906
13,6,0.04210369404103002
13,7,0.04241856882876667
13,8,0.043388104648392496
13,9,0.042524600437271964
14,0,0.06325938991003335
14,1,0.06404084631930258
14,2,0.06424063643888901
14,3,0.06432739666676414
14,4,0.06326057887523713
14,5,0.06348304992695623
14,6,0.06519367588541929
14,7,0.0634079308474676
14,8,0.06369924916590232
14,9,0.06288203478542856
15,0,0.05275832119272136
15,1,0.05228317947929032
15,2,0.052212013623546466
15,3,0.05215554291365519
15,4,0.053416569218347525
15,5,0.05320083085171112
15,6,0.0533272739307649
15,7,0.05424468651029763
15,8,0.05270795003568374
15,9,0.05318456573514676
16,0,0.04844117960591383
16,1,0.049116101531968964
16,2,0.048393518755180456
16,3,0.048902324713039916
16,4,0.047244793750395586
16,5,0.04856684549422888
16,6,0.04914424026766173
16,7,0.048713144985113706
16,8,0.04835542537145283
