simu_idx,session_idx,delta1,delta2,hrate,nu_p
0,0,7.066695860634357,14.377775234321692,0.009659721264894002,4.999950483692579
0,1,7.58723585403839,21.035177628653955,0.003637843272073106,4.99994598002272
0,2,7.915414946764494,21.37639896791218,0.0009811374498553138,4.999944562685292
0,3,7.826510265633531,28.571182961585627,1.8749303823432156e-08,4.999954139134055
0,4,7.453042049475329,31.068145506994785,2.6481998223400497e-09,4.999947609114317
0,5,7.729063706967498,29.651302997160577,3.785308582980097e-09,4.99994051299587
0,6,7.514597023241193,20.444759461046264,0.003831007866139939,4.999945006546521
0,7,7.153697316156385,26.75494658570432,1.0089634473708445e-12,4.999964355573868
0,8,8.334978401689233,31.78036446373585,3.53460838442601e-08,4.999960399989171
0,9,7.827246282236822,24.39455543568626,0.003752300300322338,4.999998859625552
1,0,7.221073879843776,17.79722502752944,0.006188953379746343,4.999947658484889
1,1,8.879965754973602,27.31063745529753,0.0016840402535624947,4.999962559191848
1,2,7.700387800567692,23.62731557889382,0.005107396121492162,4.999996375216196
1,3,7.0751121791413265,17.181267051357896,0.0086867717394208,4.9999527826081716
1,4,7.203103473707006,17.031915682481955,0.008118411495307298,4.999952164078588
1,5,10.424093457920653,29.364021167014073,0.001107853531042514,4.999999999999231
1,6,7.855961720863872,30.214176329294784,1.543881458906194e-12,4.999935616936884
1,7,7.334748089236575,19.01490806978662,0.006233572218736987,4.999949936778847
1,8,7.610319720099752,22.50575780266342,0.003835761134572091,4.999948785302777
1,9,7.616644377199236,22.56199714788699,0.0034666899516245337,4.9999490955928225
2,0,7.41570618357749,24.12325366775934,0.0024193580926200964,4.999952578294407
2,1,7.149899133160323,20.149430722314847,0.0051039306312396825,4.999951350620214
2,2,6.505585792506673,28.948204198344857,1.5936317340274076e-08,4.999956558134882
2,3,7.205461019953938,19.55474077138943,0.00488710743190495,4.999951142766433
2,4,7.299378763500601,23.09789443660987,0.006379779148124771,4.999997807719901
2,5,6.906428689106103,26.97854116613654,2.644710907092045e-12,4.9999553046373615
2,6,8.456100721463716,31.164314426173497,2.0874553984234073e-12,4.999954799245277
2,7,7.259827360757802,20.618199957948082,0.004587173337528282,4.999951333994328
2,8,7.793873286155291,25.799874888992957,0.00213320869397986,4.999953482657792
2,9,6.958536521473408,16.9379969242512,0.006932814888017308,4.999953888551966
3,0,8.255904558409673,26.088598732031848,0.001762712414441633,4.99994074037534
3,1,8.309697066604883,26.137283396652716,0.001951546899282799,4.999941736228126
3,2,7.296479166398575,12.659802714749572,0.017925743023880555,4.999948011251421
3,3,7.716387067149168,18.192885962363512,0.008521834917908162,4.999943426457345
3,4,7.793860476834223,21.010267698596163,0.0048085439167990345,4.999939923187654
3,5,7.72796328152972,19.38415829628756,0.007307871772920959,4.999941712322369
3,6,7.675643910096491,18.502742877140232,0.007628781632240219,4.9999421391839665
3,7,8.311334774148065,27.095596237592385,0.0016963990656859408,4.999942118052445
3,8,8.374995347472836,27.413905253318312,0.0018128938213749866,4.999990188865384
3,9,10.465182527282662,26.623942256219994,0.0015430494568896757,4.999999999858065
4,0,7.4996858053119455,17.707232632089507,0.007302119804257799,2.8092637461144734
4,1,6.9130681042476185,16.87208973479274,0.008429214296363374,2.642726596173242
4,2,6.923031043857871,16.721206904463912,0.00808089746205585,2.6352313429785372
4,3,7.376238430035135,17.362738646469797,0.0077819263959796586,2.7288750152426258
4,4,7.420257163483761,17.147130308708086,0.007948001781987013,2.7872096326825178
4,5,7.180712312121277,17.316152630128343,0.007541731267306439,2.700515641092738
4,6,7.011842592359586,16.65795019662727,0.008283743543401206,2.670141867451159
4,7,6.861255114706111,16.907895227153297,0.00832500588713701,2.615008871674527
4,8,7.033586205546757,16.839945602988085,0.007829112860016054,2.6521602091809604
4,9,7.24331227106033,17.534037817465922,0.007457795069732929,2.74266310269326
5,0,9.492873776481595,29.92677563302457,0.0006575648451961354,4.999999999999919
5,1,7.154606611685485,22.436100400478033,0.0038230890187200043,4.999952132321113
5,2,8.616750882042695,35.70694113000247,3.778817943235133e-12,4.999937108457615
5,3,6.9192364036442875,18.13795666938038,0.005731463720034035,4.999953501561867
5,4,9.56918374504963,29.991692066120738,0.0005794653235148861,4.999999999999508
5,5,7.2504325779868575,23.32252127116351,0.002754789067523238,4.999952719024999
5,6,7.112930484722747,21.467530151004276,0.0030872443033573825,4.999949529275887
5,7,9.313858353915586,31.21376645979048,0.0004530986240457882,4.999999999999826
5,8,8.162141582155936,36.202876255119165,2.427373619400925e-13,4.999966102603771
5,9,8.114601588325971,32.86873754121483,3.932705823149882e-05,4.999999998589843
6,0,7.868716222168837,21.929372986921923,0.006303725113625688,4.999949544156582
6,1,7.986510759419824,27.389280878514544,0.0008146957458728619,4.999943973188236
