simu_idx,session_idx,lamda,omega,v0
0,0,0.5144148459227101,0.25052403828944714,0.20413962268172764
0,1,0.036857382549180195,0.27152897163794054,0.4013738445065182
0,2,0.014572224332073582,0.30682933786729466,0.33834558139123017
0,3,3.0592029192154466e-12,0.3749057565956954,0.3226631123093324
0,4,0.0923339393493338,0.2923347687725619,0.1849404402579575
0,5,6.055506462933314e-07,0.3331366764874816,0.325123235443119
0,6,0.2541806506823924,0.2690606067028504,0.10570778077147486
0,7,0.26867524660630615,0.26729379113024115,0.10909190127016988
0,8,0.4127702527442719,0.26000739590898847,0.14741060808427656
0,9,0.05134705081868421,0.3177042533335572,0.1940984378160432
1,0,3.74034163273522e-05,0.9999411443794878,0.9999361749758844
1,1,2.174327406134925e-05,0.9999796724291172,0.9999374530524959
1,2,2.2261947665721215e-13,0.9637777393445841,0.9999369418827225
1,3,0.00626478276770658,0.978382094713789,0.9999999999999304
1,4,0.0011813420873539532,0.9999437412780408,0.999999998383924
1,5,4.37013033918103e-09,0.9999338934356917,0.9999372222574486
1,6,6.606139724775551e-05,0.999999997108333,0.9999459200151712
1,7,6.651424658681974e-05,0.9999379363690766,0.9999999999998461
1,8,0.008442895552279357,0.9955299260207178,0.9999999989683521
1,9,6.896477170484249e-16,0.9999338504563343,0.9999465897006121
2,0,0.00029607563896530935,0.27256100319196214,0.18749279421148096
2,1,4.0784577271512975e-13,0.18207401695981462,0.22921852751436037
2,2,2.594023647252399e-09,0.24728049246484776,0.1980370521523226
2,3,3.2492015297118457e-13,0.18160016546133043,0.2213984251784419
2,4,2.9158321785719596e-09,0.20115562612789634,0.21558038724108877
2,5,0.00021919042615827958,0.19045146542806896,0.18961481573772543
2,6,0.20627165789690896,0.17675044160614056,0.14560078749276673
2,7,4.403180388699827e-13,0.19933665314295412,0.21520931613732833
2,8,6.095881538668084e-12,0.17121304299542653,0.22767622521621098
2,9,1.2581536011977776e-05,0.2081174954021512,0.21906813197976005
3,0,0.20307488488104847,0.42866334146935303,0.27917289671811435
3,1,0.0009022733473627901,0.8727452404750106,0.31597102416367223
3,2,6.156400961584121e-16,0.3022549137639293,0.590212997479978
3,3,3.6216975492992685e-09,0.49330183277785006,0.5042852618159956
3,4,0.0006570062541666771,0.7849897099648504,0.3555017974626237
3,5,4.1922473628030956e-12,0.35964676916456456,0.5575342795217604
3,6,3.6637244188532697e-09,0.4540042006201659,0.5157069113034974
3,7,4.215139360513173e-09,0.3403946177112492,0.5589755840058769
3,8,4.79747979396189e-14,0.24407740983505943,0.6264765439615868
3,9,2.856631010867865e-14,0.376346372128158,0.5455287073946212
4,0,0.003401128390134926,0.9999393284657256,0.9999636783771472
4,1,0.003430462617076612,0.9999999962249695,0.999963597734352
4,2,0.0035225474263342726,0.999999994131934,0.9999372706302633
4,3,0.0035819023419996236,0.9999348761763213,0.9999385586704675
4,4,0.0036376399384378693,0.999938620533151,0.9999374983911722
4,5,0.0036446125895067015,0.9999344137356546,0.9999365649870121
4,6,0.003766137584578918,0.9999451499849017,0.9999479596176509
4,7,0.0031884502302899353,0.9999393540837059,0.9999999999998942
4,8,0.003611638399286436,0.9999352691393542,0.9999370689041442
4,9,0.003747020209669958,0.9999641238954385,0.9999657270059853
5,0,0.06073447193447972,0.9999386352088223,0.9999999970780652
5,1,0.03635891402831853,0.9999338930386481,0.9999338930386481
5,2,0.03617401570634633,0.9999760785744491,0.9999999956298696
5,3,0.04229017556700506,0.9999338930413297,0.9999999999999567
5,4,0.0343332313663685,0.9999798937182658,0.9999346268703854
5,5,0.12442372994158897,0.9999345204613063,0.9999999983307587
5,6,0.08990414860964087,0.999934666274185,0.9999999975655688
5,7,0.03306943154922223,0.9999338930386481,0.9999338930386481
5,8,0.07080466693116354,0.9999343392010663,0.9999999964472948
5,9,0.04010546049988387,0.9999338930386481,0.9999338930386481
6,0,0.019608495709346804,0.9999456368265376,0.9999999993888974
6,1,0.003356573077431746,0.9999510763816165,0.9999999981168549
6,2,0.003358966070499449,0.9999957397385932,0.9999500136104996
6,3,0.005405974214397498,0.9999688223373051,0.999999997711615
6,4,0.0031105550246949658,0.9999509134150806,0.9999433744339788
6,5,0.0039021761608477846,0.9999693380346725,0.9999396613642155
6,6,0.003330166070337125,0.9999999994518876,0.9999495495686741
6,7,0.003329994009687956,0.9999456169225759,0.9999391287247508
6,8,0.003634528786778113,0.9999418070528309,0.99999999956533
6,9,0.06221336820494231,0.9999396778681953,0.9999999989683521
7,0,2.308591803436429e-16,0.8405816209323247,0.6211745073449327
7,1,4.090425421947172e-14,0.8762206745457122,0.5905764777695572
7,2,0.10739856643250685,0.5793755187188421,0.5344876181649587
7,3,8.018375581335336e-14,0.28222837746220425,0.8742559942768925
7,4,2.099366806974148e-17,0.9794114072190829,0.5843848465708181
7,5,2.7809244078469125e-09,0.7315951519543997,0.6541501950107563
7,6,0.8007748164801427,0.4952208500277548,0.19327362262631875
7,7,7.792734545948479e-15,0.9911249951307796,0.5612571218675777
7,8,7.698854995426365e-13,0.8828770182852818,0.5853467585726977
7,9,3.987912367098178e-12,0.7749788729376533,0.660172751308742
8,0,0.1657886233326928,0.0227242092218418,0.018382265145461683
8,1,0.16077408356012335,0.022692385643609748,0.015361737877056657
8,2,0.1598613898622398,0.023215159953590313,0.017286811482459665
8,3,0.18242385663837152,0.02192058733737114,0.014378393376901945
8,4,0.15621350997320493,0.02331772556002791,0.01713648639750195
8,5,0.1713337156404965,0.022832219063032556,0.017748140949995037
8,6,0.14316127285523322,0.023259328601423983,0.018166097296420373
8,7,0.16352961279762274,0.02281414869880371,0.017442169057756494
8,8,0.15908165863638485,0.023141419096665908,0.017369006895327915
8,9,0.15229087322904516,0.022765234568140696,0.01834701982176472
9,0,0.0529079208589788,0.9999412193970748,0.9999339454058312
9,1,0.07047741813055577,0.9999425213959506,0.9999999957967697
9,2,0.06658149150203373,0.9999338930592219,0.9999999999999554
9,3,0.04598372699018824,0.9999467107458602,0.9999339375028772
9,4,0.13531889664162036,0.9999339958198639,0.9999999983307587
9,5,0.06301075087937479,0.999961484128438,0.9999349394987099
9,6,0.0634242866039162,0.9999477375103821,0.9999341428868354
9,7,0.07048683212257412,0.9999367185864093,0.9999339098178184
9,8,0.06074382270706098,0.9999338930386481,0.9999338930386481
9,9,0.06769165554818198,0.9999455805490366,0.9999352166920211
10,0,0.21998215344044103,0.053207986961388856,0.043717529000492986
10,1,0.221672249176581,0.051723635237081345,0.047060877193345105
10,2,0.22229981469994814,0.05373910508619021,0.04158934170675933
10,3,0.17948180397691937,0.05397349593630335,0.04214566073040386
10,4,0.2349593220191149,0.052288567192786774,0.03488821188055669
10,5,0.2172823139347173,0.052928042288519064,0.043559259947531
10,6,0.0004318170199050243,0.08510383158660487,0.05652463949692471
10,7,0.20888480913617494,0.0529447069750169,0.028909851839165248
10,8,0.24760176060747305,0.05209316711530711,0.04557934205933555
10,9,0.235038697187765,0.05316818420761065,0.04276323823343693
11,0,0.07433423974032918,0.9999338930386481,0.9999338930386481
11,1,0.06562099989931908,0.9999338930386481,0.9999338930386481
11,2,0.06014090598143161,0.9999361149789373,0.9999339031501585
11,3,0.09091440035443533,0.999935166387117,0.9999999965764443
11,4,0.06507742134924431,0.9999373863602584,0.9999339042350476
11,5,0.02391089392282398,0.9999765329827084,0.9999340768904145
11,6,0.03212939097815648,0.9999503024745421,0.9999341816106652
11,7,0.05314131110892281,0.9999378708331188,0.9999999960359199
