simu_idx,session_idx,T1,T2
0,0,0.0501515258062974,9.704857506610862
0,1,0.770174328550042,11.90098315962456
0,2,1.239953414038836,3.1296142058394407
0,3,0.47997539738827855,3.479089610925011
0,4,0.7614956080255149,12.640409658787975
0,5,0.40798936075315145,16.19441999562629
0,6,0.3643607795869378,2.3374339395814046
0,7,0.46739002651931805,4.8808467543705785
0,8,0.7374914705041938,11.77531573971084
0,9,0.47516964842150056,4.768350505163171
1,0,0.07449616283740335,1.0091364679116521
1,1,0.08103104780117643,1.0052997468971605
1,2,0.07853928902407124,1.2574455864044922
1,3,0.06789805590515956,1.2661228061696286
1,4,0.07854430240028022,1.258755100026389
1,5,0.2272492856428084,1.0150716244939897
1,6,0.06636634890237028,1.2702197826645527
1,7,0.06920169260058952,1.0205555567648317
1,8,0.12075947075533208,1.0013662506081633
1,9,0.07584263526022034,1.011887499591958
2,0,0.07339708920966853,1.2658066084763875
2,1,0.06754898492979813,1.2898154998067493
2,2,0.07806943802923554,1.2662955956528266
2,3,0.09527648711211305,1.3048159440525855
2,4,0.06777854285963512,1.2978030315784357
2,5,0.08593359291578813,1.29781361094067
2,6,0.07857507153870344,1.305814622875676
2,7,0.06754129100321947,1.2603318381119295
2,8,0.08315324857710868,1.3044130553434308
2,9,0.09440029536641685,1.2906316960445718
3,0,0.07542334544468553,1.265713420561134
3,1,0.1183598646690013,1.0119800186612689
3,2,1.3108307991456343,4.120318666041068
3,3,0.07853928895977974,1.3216322505361913
3,4,1.2408373701437605,3.364504004439562
3,5,0.11894273449173588,1.0041435122628695
3,6,0.19157272910422932,1.016850591217429
3,7,0.07917144343176939,1.4134381032081564
3,8,0.11832783034466603,1.0133615281940118
3,9,0.12070094987117339,1.114034181916972
4,0,0.14092362861007235,1.7402664761181421
4,1,0.1207505481542258,1.803414919677282
4,2,0.6454969061703548,0.9778394695549698
4,3,0.07632888771946031,1.9166377756099124
4,4,0.034156916848808574,2.2248618581398074
4,5,0.013386009714628815,2.1477213986197397
4,6,0.026417603328349436,2.0615686444133634
4,7,0.02422772817376295,2.034169573558477
4,8,0.3678567223103097,4.368911957752116
4,9,0.2123254700177257,1.6932513182588123
5,0,0.790107322162325,4.72218308764773
