simu_idx,session_idx,Kp,Ki,Kd,lamda
0,0,0.1549120200288668,0.16286899080178385,-0.05011737219781823,0.9895076587151683
0,1,0.14949308955554585,0.16518242882476217,-0.04720297442361475,0.9893997535888508
0,2,0.14626722976001608,0.16447305559348674,-0.04565254620485452,0.9894777470209273
0,3,0.13165312979515673,0.15308405582755588,-0.041201238771790744,0.9893407847908855
0,4,0.143510513794268,0.16200323286425813,-0.0446775745999495,0.9891263743585232
0,5,0.15465766160518277,0.16203318349692875,-0.04969029219951182,0.9897040465402909
0,6,0.15015157632044834,0.16060797248784456,-0.048398802017799974,0.9894191770878662
0,7,0.1491843992469907,0.1622489024451044,-0.04731973799076615,0.9894575768697267
0,8,0.1576299300730691,0.16278593154136006,-0.051226987021958575,0.9894070835363699
0,9,0.15448224154075196,0.16440702578569946,-0.04986132851352171,0.9894658674379163
1,0,0.20170287110252627,0.8400289058351466,0.026521931142855202,0.9386737432597847
1,1,0.2127125266639812,0.82325423883997,0.021588352262297928,0.9396826314390616
1,2,0.20022488464004912,0.8149989984118402,0.023272469160448863,0.9366857421631116
1,3,0.17667196992331427,0.7987715177883278,0.02826844703224284,0.9342345913425534
1,4,0.19565017890787548,0.8289476919726653,0.025563745768857584,0.9374863576368919
1,5,0.18166074499733276,0.8336771120248639,0.02752159837577794,0.9352762463858676
1,6,0.20193615270118848,0.8488724262271258,0.027320267819885228,0.9373955878331092
1,7,0.19566860517804657,0.8455660453775032,0.02742373770235588,0.9369482430664456
1,8,0.19468902763952145,0.8520145970552503,0.02883873128049022,0.9368593004215611
1,9,0.19331607088244665,0.8441482764456493,0.03140118229177154,0.9374132814878973
2,0,0.2287798945959061,0.9999999969378457,0.036701139528142586,0.9365190150868824
2,1,0.3024474026388487,0.999999999974657,0.002715119526803526,0.9380971036372946
2,2,0.2330240854018453,0.9870596370275599,0.03648063553597595,0.9370936563041283
2,3,0.22050227176745674,0.9999980399045628,0.04304836405107105,0.9375334438495122
2,4,0.19959523623122694,0.9999999999803506,0.049490099690416005,0.9335222742072592
2,5,0.2635532872967937,0.9999961899732362,0.024723423537973292,0.9345709477574138
2,6,0.218646325629923,0.9950908511773812,0.04467691736071075,0.938719989833921
2,7,0.23557456583472589,0.9706447661763353,0.02964976686932774,0.9383936004950953
2,8,0.24202075982701943,0.9999406659854444,0.03278213271408898,0.936321792716927
2,9,0.22912327472901944,0.999929897245814,0.03874423518309341,0.9355099192807919
3,0,0.16846900971903483,0.6698441496642965,0.012034481986840017,0.9472967385122881
3,1,0.16900800453199008,0.6456340406609978,0.007776689887453804,0.948362291193101
3,2,0.17547347854001175,0.6277164383599875,0.006620817773131611,0.9517108188365153
3,3,0.1752589164887341,0.6378879167037322,0.007408762448815059,0.9493953924882901
3,4,0.1533198119240558,0.6275860547367211,0.012530340997429905,0.9456380233517178
3,5,0.16726938113231157,0.6536077543263373,0.008259726332790132,0.9475500566566716
3,6,0.16840566225016312,0.6599249346561114,0.011843022763348737,0.9474901441951391
3,7,0.15886573763967554,0.6571854855676486,0.014042089651053389,0.9472362526893764
3,8,0.1648469523942487,0.6617269707304407,0.014678048405486277,0.9471125571435872
3,9,0.17612567053428319,0.6524890867937281,0.008683801661263217,0.9501971254111892
4,0,0.14825181015904898,0.15506987494829075,-0.049598188065071006,0.989316390610932
4,1,0.1527870522051051,0.15564689284596636,-0.05185415705738939,0.9894030534687
4,2,0.1392365759824274,0.1569364047887893,-0.045202801888725136,0.9892035432879486
4,3,0.15666299590860178,0.15354460875691858,-0.054353592447827684,0.9896802718347122
4,4,0.1406070586478334,0.15106200644357964,-0.04643062928525831,0.9895658583254935
4,5,0.14916035152023768,0.15320108032614005,-0.04989595737035142,0.9897313237938011
