simu_idx,session_idx,p_c,lamda
0,0,0.30762372089430234,3.843778496923837e-06
0,1,0.3057431390473033,4.715599914490415e-14
0,2,0.3053451877065864,6.689265900873346e-05
0,3,0.3071697162557598,6.610696060945261e-05
0,4,0.30841886272783464,6.610695957313149e-05
0,5,0.30563318043550747,1.1386210592630004e-14
0,6,0.3072672040885437,6.135438117174484e-15
0,7,0.307125945550816,4.824856812065904e-14
0,8,0.3072081629306636,6.606560135332353e-13
0,9,0.3124506501733557,5.987961150302494e-14
1,0,0.3741202560885696,0.010464272023979898
1,1,0.3702301542348831,0.011768176465846217
1,2,0.3604949601392929,0.1730238635995396
1,3,0.3460895365358116,0.0821054319550428
1,4,0.37346704654722124,0.2535905791588388
1,5,0.36117023067811377,0.17724884663696322
1,6,0.3641386818905488,0.19577619631391152
1,7,0.37800149693296053,0.006125406040301328
1,8,0.37189427932158525,0.24388635375701712
1,9,0.3929671447898078,6.610696135189546e-05
2,0,0.2068371759947471,3.666225557092375e-15
2,1,0.20935052252477437,1.7862201652193657e-14
2,2,0.20450987525151815,4.641559450222282e-14
2,3,0.2074237974616747,4.619815766140508e-14
2,4,0.20239945141689886,7.6360048506886e-14
2,5,0.2095199354084556,1.0616263326513448e-13
2,6,0.2002299874013917,8.956216056665466e-14
2,7,0.2008210685459425,3.36123484488617e-09
2,8,0.20859606930789376,6.610696012776225e-05
2,9,0.19993016685111692,2.7507224889658293e-09
3,0,0.33515176845488776,0.011796662073502112
3,1,0.33543135792352247,0.013725152644470398
3,2,0.3337100340751127,0.0024448992066269486
3,3,0.33551702518694104,0.014163513939334649
3,4,0.33897959459069527,0.03653430274584491
3,5,0.33579379310849083,0.015944363782575126
3,6,0.34000519377614585,0.04313253966856155
3,7,0.34144300492290125,0.052336475542640246
3,8,0.334825623487251,0.00985476635794055
3,9,0.33331566526975454,4.344483529692696e-12
4,0,0.2954105123016715,3.769924976811548e-09
4,1,0.2967710682351816,3.0610880726737394e-07
4,2,0.30230807796782827,1.044406215637022e-11
4,3,0.2981627048658538,7.20421443473537e-12
4,4,0.30142738884264475,6.610695876637285e-05
4,5,0.2996455216626686,6.610659636468197e-05
4,6,0.3029319933468454,9.051962442979638e-14
4,7,0.3028515444496823,2.6103348289855757e-14
4,8,0.3020294149895356,7.241044960716024e-15
4,9,0.3050316651827185,6.610696168608201e-05
5,0,0.3369454985237308,0.023387792634598673
5,1,0.3333033929173079,1.397641538162044e-14
5,2,0.3333435160287878,6.610696124189674e-05
5,3,0.33334351602942963,6.61069611596349e-05
5,4,0.33333340919456983,4.925872400626254e-07
5,5,0.33387226461246755,0.0035587238689266834
5,6,0.33334351603185175,6.610696105550901e-05
5,7,0.32683123476472553,4.163862063861479e-11
5,8,0.29719398215742393,0.09211929413272324
5,9,0.3333008552802178,3.95518030691483e-08
