simu_idx,session_idx,delta1,delta2,hrate,nu_p
16,7,9.779616350620776,22.644964994988648,0.002532956094320724,2.8099347423318126
16,8,9.78751397749349,21.910067884805166,0.0026624695982156756,2.807817257855376
16,9,9.03771017987009,19.364915253625433,0.0026454642948927297,2.5398182691611604
17,0,8.387227535740564,27.296361612954477,1.841348471268156e-12,4.999945618348618
17,1,8.049195284760525,32.32034967342398,6.3682546008523e-14,4.999964398603954
17,2,7.321128384671633,19.528318584227424,0.0011410155166425664,4.999954945828163
17,3,6.598848328733189,19.638194879393374,0.0008320952837346819,4.999966631697079
17,4,8.579500545498943,30.556675781717733,4.461194012906459e-13,4.999958706714008
17,5,7.414642143732694,23.729852449037804,7.584723278284296e-14,4.999946034089094
17,6,7.229091159326869,20.53664767574702,1.5571899002386647e-16,4.999955304650504
17,7,6.4565516479579,23.945442963800552,3.414407800274219e-08,4.999934954566171
17,8,7.181652807671978,20.00314687175585,1.1083611639323991e-12,4.999955304847093
17,9,7.419590285761623,22.673139549128123,3.4432747663340773e-08,4.999955306104614
18,0,9.423730126521791,24.655025741007073,0.00884590775248779,4.999999801678325
18,1,11.15640835562211,27.9342569774624,0.0028474704732575646,4.9999658351957805
18,2,8.20803130000321,20.227205180837217,0.020102913103862502,4.999965492687917
18,3,10.921034528443384,27.650419688325787,0.0028692359981631528,4.999854803225374
18,4,9.054296426727799,24.030347143878394,0.013387614819986243,4.999999839395527
18,5,10.730876505082035,29.607879587692292,0.0026767611110232515,4.999835612445357
18,6,11.632044266747988,27.992716518962908,0.00241056837127129,4.999999983632673
18,7,10.865658099758996,27.21836801177149,0.003049244648386595,4.999963312795839
18,8,11.15179214718349,28.006855297889857,0.002673385376810538,4.999982457391239
18,9,9.937064886673635,24.251865998267803,0.005942308431217647,4.99996244441803
19,0,10.168401838658026,23.827809196344127,0.003600451098449621,3.2462550810455673
19,1,10.710271167462029,25.30590351725598,0.0034068695197630337,3.444453900126254
19,2,10.527533412415952,24.63513387532276,0.0030447065680300252,3.3426881234865227
19,3,11.165987789163783,26.25766219322523,0.0032172599571622987,3.5424969022249932
19,4,20.282173605768495,29.086314901046507,0.0006490140964014315,4.999999998154569
19,5,10.331301213372756,24.334604959232387,0.003463272250921235,3.2987748610294783
