simu_idx,session_idx,lamda,omega,v0
0,0,0.9999582294043236,2.590653831720216e-05,0.00041920653015712316
0,1,0.9999361563956277,6.610696135189607e-05,0.000139736937884493
0,2,0.999945634170344,1.6115279380088343e-05,0.00045310384539508727
0,3,0.9999338932786882,2.3105146048702286e-05,0.00017289661411698564
0,4,0.9999643776741689,2.3655208676927788e-05,0.0002800335231305014
0,5,0.9999999990580151,6.569462745534744e-05,4.4505089608732186e-05
0,6,0.9999337806473885,1.753379280092194e-05,0.0006643423862482441
0,7,0.6184234196553597,0.9999999999999787,0.0061531032744229705
0,8,0.0021489954363239244,0.9999338930386481,0.9999338930386481
0,9,0.02823189665482604,0.9999999999999898,6.610669823146002e-05
1,0,0.008388469709665976,0.9999999498343355,0.9068833213255724
1,1,0.9962115063384505,0.0003581655199271939,2.324538767961397e-09
1,2,0.9799953960764318,0.00048608256913509624,1.6692412542945777e-09
1,3,0.010993663346813653,0.9999352401553209,0.9999999972991109
1,4,0.9999999995389356,0.0006141056517120609,2.245109311451647e-05
1,5,0.9789137455006617,0.00027915792594259217,6.611590147841953e-10
1,6,0.0021966721441366694,0.9999999973118737,0.999958420722436
1,7,0.9699298329661304,0.00045256967778254173,2.700889084879623e-09
1,8,0.9972669750584897,0.0004854677338664635,1.6692412543081302e-09
1,9,0.009555168560153152,0.999946631515139,0.9999999972991109
2,0,0.9999999981647223,0.00017157503123763556,7.758946348357923e-06
2,1,0.9999602504055252,4.256699812662688e-05,6.613008801917514e-05
2,2,0.9999999972991109,6.404565052157701e-05,6.367584648566832e-05
2,3,0.9999380905906489,5.30285802780902e-05,6.335620640277881e-05
2,4,0.9999349603310269,3.8504245144718275e-05,4.037462162179026e-09
2,5,0.9999556680113975,5.9367311451013386e-05,6.635466038706172e-05
2,6,0.9999640965382742,6.586934361950803e-05,3.2713974486208667e-09
2,7,0.9999562141302164,5.4901129332218426e-05,6.351657468638727e-05
2,8,0.9999999983599138,0.00010629818814635653,5.3220906498382904e-05
2,9,0.9999636795009288,6.42690852736691e-05,6.610696798471729e-05
3,0,0.003476927762449896,0.9999338930386481,0.9999338930386481
3,1,0.002546874056957344,0.9999338930386481,0.9999338930386481
3,2,0.0035080808292184172,0.999960263390455,0.9999338829930534
3,3,0.0024510422439477917,0.9999940670167092,0.9999338618259825
3,4,0.003980371462358082,0.9999338930386481,0.9999338930386481
3,5,0.0033803244980021778,0.9999338930386481,0.9999338930386481
3,6,0.0029983555758564245,0.9999338930386481,0.9999338930386481
3,7,0.0033916453696744967,0.9999338930386481,0.9999338930386481
3,8,0.0030407834561624624,0.9999338930386481,0.9999338930386481
3,9,0.002993056881985961,0.9999999999999192,0.999933894655729
4,0,0.9999999977422325,0.19323075438186013,0.9999563428351752
4,1,0.0011806220017311088,0.9999990473540263,0.09672047993532071
4,2,0.9999999977263315,0.2047829485591577,0.999937029171997
4,3,0.9999999972991109,0.20914600344923232,0.9999534071933477
4,4,0.9999999973134752,0.2001098067910088,0.9999428245643173
4,5,0.9999999975403968,0.19924844360521304,0.9999426124724573
4,6,0.9999338930386481,0.20212445596771772,0.9999338930386481
