simu_idx,session_idx,p_c,lamda
0,0,0.018571273848983168,0.9999999999999992
0,1,0.018571273848998034,0.9999999999981176
0,2,0.018571273848983213,0.9999999999999996
0,3,0.018571273849024874,0.9999999999914204
0,4,0.018571273848983282,0.99999999999996
0,5,0.018571235112755765,0.9999992921741477
0,6,0.018571273924977944,0.9999999986961363
0,7,0.018571271702688616,0.9999999817205394
0,8,0.018571273848983053,0.9999999999999976
0,9,0.01857127384900086,0.9999999999969715
1,0,0.07970556496268444,0.9999336873917921
1,1,0.07970553477313018,0.9999440324310979
1,2,0.07970552210334378,0.9999344718139241
1,3,0.07970560849733392,0.9999999977081852
1,4,0.07970561146023568,0.9999989679808193
1,5,0.0797057906046715,0.9999966250336426
1,6,0.07970559399984044,0.9999884999795983
1,7,0.07970563174313133,0.9999345713189378
1,8,0.07970560838371207,0.9999999999999791
1,9,0.07970560838585806,0.9999999999962439
2,0,0.08803060316902121,0.999999455087902
2,1,0.08818956666879402,0.9999965686045074
2,2,0.08803076100557751,0.9999985935082383
2,3,0.08803067295851386,0.9999991634271651
2,4,0.08803053493370668,0.9999999999963853
2,5,0.08803053408991521,0.9999999974877872
2,6,0.08803053809331617,0.9999999731015946
2,7,0.0880306666764533,0.9999993983802943
2,8,0.08803053492658844,0.9999999999987641
2,9,0.08803069642848216,0.999998720202567
3,0,0.06236717169843434,0.9999999992959848
3,1,0.062367135962754026,0.9999483862934819
3,2,0.06236726918647431,0.9999980684339489
3,3,0.06236717273173132,0.9999999856331286
3,4,0.06236717167063823,0.9999999999999521
3,5,0.062367171670592705,0.9999999999999966
3,6,0.06236717167059282,0.9999999999999821
3,7,0.06236717152522841,0.9999999999987677
3,8,0.06236717167058657,0.9999999999999755
3,9,0.0623671721142625,0.9999999936711498
4,0,0.017182188545502502,0.9999999999998137
4,1,0.017182188546284147,0.9999999999969349
4,2,0.01718218854638259,0.9999999999780401
4,3,0.01718218904799883,0.9999999898164045
4,4,0.017182188865851506,0.9999999929902511
4,5,0.0171821885462694,0.9999999999999991
4,6,0.017182188934752214,0.9999999912527952
4,7,0.01718218854629351,0.9999999999951936
4,8,0.01718218892870951,0.9999999914067106
