simu_idx,session_idx,lr,weight
0,0,0.042004816134397646,1.5103941065482925e-14
0,1,0.04269816127667513,3.3119196616019974e-14
0,2,0.04003263653799117,5.4991537059893496e-14
0,3,0.03921427163174993,7.315734197586474e-14
0,4,0.04177322884009889,4.1807035098536866e-13
0,5,0.041961154957073504,1.0775044680286825e-14
0,6,0.0414651632831177,1.4448142149092235e-14
0,7,0.04191451681640868,3.0075787530229165e-10
0,8,0.04181194768110573,5.3138100343061474e-14
0,9,0.042224034100984985,1.498100732911242e-14
1,0,0.21128988310605148,6.6194897616168064e-09
1,1,0.20882901558553477,1.4776570102989825e-13
1,2,0.2017074090311655,6.5659056252849596e-09
1,3,0.21910054750699953,2.0890763890914904e-12
1,4,0.20133232812619026,6.326923911853262e-10
1,5,0.21905936034212936,1.4005171435909264e-14
1,6,0.22229954463592722,7.23109379201944e-10
1,7,0.2040970530126604,3.123254164087278e-09
1,8,0.2010769076795815,9.501635598433172e-09
1,9,0.22174240198332473,2.520343119788166e-14
2,0,0.23385734636230832,0.2745280939586032
2,1,0.22696779250385757,0.28998146705670275
2,2,0.22820101858371405,0.2634500452480003
2,3,0.2227341824077983,0.27490094344854643
2,4,0.21006869438603454,0.2816779665403165
2,5,0.26754102318212236,0.30352333456492225
2,6,0.23271344130510618,0.26849760960708613
2,7,0.18758952845985297,0.2439606372371615
2,8,0.24969270980978725,0.29215890413062373
2,9,0.24310636497768046,0.29068008844241544
3,0,0.17290709136922364,3.723940747317013e-05
3,1,0.16905990647066282,2.1270983808925564e-08
3,2,0.15626506391207207,2.8220523752958942e-14
3,3,0.16533243480311827,6.132257150045307e-05
3,4,0.17576501534770303,2.3471084198901546e-08
3,5,0.16341385769623218,4.602026500190692e-09
3,6,0.17115022382868655,3.397815031439127e-05
3,7,0.1608491270704664,7.856622219407733e-15
3,8,0.16260340514538982,4.928264772473144e-13
3,9,0.1724032412699025,2.2088979037034984e-08
4,0,0.04011186040367012,2.0241865099134556e-14
4,1,0.03807484620720573,1.4797381624872963e-14
4,2,0.03881106861953872,4.126623095112883e-14
4,3,0.03842019516024192,5.236768241553967e-10
4,4,0.03548350678920052,1.569159030910191e-11
4,5,0.03859154062207822,3.755833797351924e-14
4,6,0.038991903850516436,5.029397051002007e-14
4,7,0.040341328964500156,2.1955319846817383e-09
4,8,0.03850297558209995,5.4684814088985155e-14
4,9,0.03693959242229004,8.265536893724081e-05
5,0,0.3525267297551906,0.3734456441984858
5,1,0.21390317398792152,0.36234569752465207
5,2,0.25901345494029016,0.37061601466673155
5,3,0.302018686006416,0.3590280694018418
5,4,0.3669249295610087,0.37999918879000893
5,5,0.3219620191422339,0.3668166003470741
5,6,0.2925232384771495,0.3785336902679612
5,7,0.326698539473172,0.38116813823110357
5,8,0.21188473895332385,0.35106488240007305
5,9,0.3376770001211634,0.3711314242968003
6,0,0.22042183378190144,0.2300534127607367
6,1,0.246275714837931,4.3600954256070514e-14
6,2,0.2558179692847844,0.27574962958681476
6,3,0.21893476382942664,0.26758113947473494
6,4,0.2129228809843031,0.2550647970899929
6,5,0.26061048259933084,0.25069040644214313
6,6,0.32513116386214674,0.2556947392196377
6,7,0.29354408351927663,0.24166884224024932
6,8,0.2862098625970043,0.23910125261740747
6,9,0.22753107787496252,0.255785808021468
7,0,0.19814639309009974,0.27723471511276165
