simu_idx,session_idx,nu,kappa,omega
0,0,2.3611732092329776,0.6116596016533581,-3.3475241575014723
0,1,3.819721915899926,0.43650245075333577,-2.3486187089220927
0,2,4.907838021708431,0.3865018663674864,-2.3446048440177614
0,3,8.001311672637941,0.8617007454087863,-2.3258659220027207
0,4,8.672349863128364,0.3800970385693785,-2.958197329896523
0,5,6.428878830741472,0.8526657516145475,-3.3510299496991225
0,6,8.149341908245788,0.8632676668937668,-0.6520227386447431
0,7,7.08542319990807,0.6233206678772174,-1.7911694410346517
0,8,6.181311945343459,0.6092309598908667,-2.7170389471606287
0,9,6.176099594470983,0.010044195049541016,-4.999966378013176
1,0,7.848113981946355,0.39738922674879584,-0.04251110781581169
1,1,4.0005850345751215,0.5326394105979151,-2.3262712778382504
1,2,3.8197219158999256,0.6399933589456683,-2.326335805424235
1,3,8.065349336181376,0.7648503220707987,0.5865045614986002
1,4,7.420267619998805,0.5716075953734816,-3.712357364794796
1,5,0.0001596080137793443,0.010065445891738377,-4.999965819204079
1,6,4.679995834797257,0.8543277738899334,-2.2714769713227994
1,7,8.346426101238928,0.4672850242492866,-2.0851449450088335
1,8,5.322922936330631,0.47451137120358816,-2.237320325750784
1,9,3.807826232227362,0.0100654458917383,-4.999965852761166
2,0,6.110435975273449,0.36106810707694326,-4.476840071175255
2,1,0.00010001025864781306,0.01006352361656908,-4.3033226702933876
2,2,3.8152195011140253,0.38814635113760404,-3.3803690903662043
2,3,0.00010001669224561887,0.06037714046882096,-4.496584901162039
2,4,9.222533137857301,0.3619958259791588,-4.336574663873517
2,5,0.00015960801377939274,0.010065445891738377,-4.407908095752923
2,6,0.00010001669224561887,0.010064729625602318,-4.238632408443428
2,7,0.00010000025732140441,0.010054841628501563,-4.306805641292304
2,8,0.00010000394050466317,0.01006523858855208,-4.217813769531668
2,9,0.00013748077678502619,0.010000351248220738,-4.334642379209675
3,0,7.639343831799852,0.418988715030409,-1.0113433703974837
3,1,3.6112396836032983,0.8895803317140046,-3.3475241575014723
3,2,6.13132553078677,0.4222437863487507,-0.6732993300212733
3,3,7.297121973331557,0.38814635113760404,-2.3262379212492643
3,4,2.676761133532481,0.9336522405820854,-2.773181368415887
3,5,5.114490297991831,0.7663260387204719,-2.3089431749925327
3,6,7.3137582527758775,0.6557785208403991,-1.0035632441667093
3,7,7.639185364876109,0.38814635113760404,-3.983037314701213
3,8,3.819721915899926,0.5760202794317462,-2.9615447428938957
3,9,3.819721915899926,0.0100654458917383,-4.999965824348233
4,0,8.036987891991064,0.6225141115969465,-2.3979304992356987
4,1,6.608759100901826,0.26483415378552,-4.980997550310329
4,2,4.286872237972349,0.38814635113760404,-2.3262379212492643
4,3,4.181932190297023,0.3881463511376041,-3.977807540580026
4,4,7.843342722863156,0.38783269713369933,-2.2277910387724615
4,5,6.607357493412589,0.47097233596627686,-3.1059684325315775
4,6,6.180411418224219,0.388146351137604,-2.5193608934770784
4,7,6.520698045810494,0.38814635113760404,-2.3262379212492643
4,8,6.1933020495816,0.7636753591487848,-1.4321420120687514
4,9,6.2823170370163535,0.793199534689654,-0.6767256740169276
5,0,4.927026269283296,0.6000531804517382,-4.035165346308812
5,1,4.966698844276248,0.6773618315236238,-2.439970224557899
5,2,3.8807114334834347,0.8551869953387358,-2.6481442054069255
5,3,7.598424431084909,0.388146351137604,-2.716301198504053
5,4,6.9801939353947455,0.38814635113760404,-0.6737278989701787
5,5,3.8397500255551487,0.23877783413547804,-4.99994935104276
5,6,3.9887318732455626,0.3895478519825657,-3.446583041888594
5,7,8.407644845349907,0.010047897973464504,-4.9999658251921275
5,8,7.638823856374787,0.38814635113760404,-2.2125328933799935
5,9,8.657137937871648,0.6269192377191657,-0.9321824795062919
6,0,4.71071979111455,0.6168789001091608,-2.3255185933582645
6,1,8.126292379899027,0.8362535716143595,-0.5244886325562087
6,2,4.565747087849229,0.6840204220678365,-1.276182942736571
6,3,5.115379348411064,0.010057999097959791,-4.999965846287979
6,4,6.008072158467893,0.22334856649802837,-3.4307609825133016
6,5,2.360680371334939,0.388146351137604,-2.3656522633155106
6,6,5.535097122208014,0.7655990775412258,-3.369335681431177
6,7,8.858997416498362,0.832080987126051,-0.6742038895928537
6,8,8.158068582615186,0.3802556495135082,-2.3215280761168113
6,9,6.232186246875601,0.388146351137604,-3.1770039256401708
7,0,4.515784700497501,0.3881463511376041,-3.3503506755291785
7,1,5.965012047589697,0.4365990914181275,-2.3768508851774572
7,2,3.248183611893907,0.7665818017009913,-4.1750805460602205
7,3,6.1796863524504,0.4182224270223455,-3.1520142017527006
7,4,7.939948821987566,0.7696601002502588,-2.3136927642432394
7,5,3.7182434688118158,0.6030647346919946,-2.117058300101693
7,6,3.9012101466611107,0.6213050636888156,-3.3475241575014723
7,7,5.835262903875259,0.38814635113760404,-0.7203102299400319
7,8,5.448315489175518,0.3919680266491191,-0.7915686042418739
7,9,3.8889812674970443,0.7210123287845834,-2.0251254184042278
8,0,5.869976829367037,0.8426827804942445,-3.9818854907242853
8,1,3.819721915899926,0.38814635113760404,-2.1068842851148264
8,2,3.819721915899926,0.38814635113760404,-3.3354572789216053
8,3,2.0163410748991915,0.7625848971441895,-3.0900624611065903
8,4,3.4249625515346986,0.5426169471832769,-3.3483361546635395
8,5,8.99703243785601,0.38248518286029953,-3.3135119063157816
8,6,2.437451631962441,0.7632397379733251,-2.6243159650029666
8,7,4.0758966492868245,0.5814507582812369,-2.3469625049711094
8,8,3.819721915899926,0.38814635113760404,-3.3475241575014723
8,9,6.219870804199687,0.40492563726920905,-1.9466385905474057
9,0,7.610265764565947,0.40568091289107017,-1.6874933691479717
9,1,7.665174134265866,0.69632466032028,-3.4904853029572185
9,2,7.697182353142498,0.5725308322099332,-2.7295246295719813
9,3,0.00010000032605850519,0.010063927308090609,-4.999967831952324
9,4,7.827246326850791,0.4039051357349973,-0.4327783426669607
9,5,4.152191673305001,0.38814635113760404,-3.3967902537701384
9,6,6.369666222393319,0.6259190575925976,-3.304157463511136
9,7,3.8548128439204508,0.0100654458917383,-4.9999658417659685
9,8,0.00010001628680915512,0.010065013466712684,-4.99995878217569
9,9,7.980765721698846,0.5455578270386306,-3.2615503514321538
10,0,6.393613515310632,0.4299570859807577,-3.3494843925759805
10,1,7.349401326388006,0.8003901374863549,-3.347696956709721
10,2,3.607436880273399,0.39448973027255485,-1.2789218844830506
10,3,6.965190582852742,0.33297554203677127,-2.3376221604031073
10,4,4.3261397504887515,0.913529086256759,-0.4624022753906667
10,5,8.887142512479505,0.388146351137604,-2.2909510268926767
10,6,6.192968729845086,0.010057053613487299,-4.999965858161843
10,7,6.23045340356116,0.38814635113760404,-2.3264445870737553
10,8,6.180378084100072,0.38814635113760404,-2.8528483078873643
10,9,5.259856844688432,0.7662302603058698,-0.7347429286324125
11,0,3.628819186372805,0.6878442235816975,-0.6803474246426995
11,1,5.835879276410447,0.5913722428167065,-0.6666127819837591
11,2,3.8197219158999256,0.3881796879097036,-0.6707458748052693
11,3,4.254622850322723,0.8020120404963764,-0.044370956922759885
11,4,2.918627587148862,0.7593080292136956,-2.323947756393941
11,5,7.850395562345762,0.5167671038538435,-2.30141089440332
11,6,6.125597605966069,0.502719984069051,-2.3106564831682386
11,7,6.25931666575622,0.48420211216600983,-2.3723012120783578
11,8,6.105165406007977,0.388146351137604,-2.179913249793393
11,9,7.627690540615562,0.532637831026272,-2.3831500213024275
12,0,6.421127089441292,0.5318284366583411,-2.085282033054554
12,1,0.00015960801377939274,0.010065445891738377,-4.999965819204078
12,2,4.45265032791807,0.01005677988379261,-4.999965841030065
12,3,3.1569894488191954,0.7457737948780258,-2.3262379212492643
12,4,2.441506839852525,0.9009533749503266,-2.3237913111351496
12,5,3.633185124969141,0.6214354092328849,-3.3896899578380566
12,6,0.00010001669224561889,0.010065132647369574,-4.999962211733079
12,7,4.581688135128218,0.24279598906620364,-2.328369915887051
12,8,3.819721915899926,0.7753649884063656,-3.3599879643418844
12,9,3.8197219158999256,0.0100654458917383,-4.999965847858601
13,0,2.45477411938171,0.642927022752082,-3.5583050927595465
13,1,3.8284580969677267,0.612398509601669,-0.2516659379464321
13,2,3.994704354595431,0.7668468785863903,-3.2937464397729435
13,3,4.289616831776881,0.7662927022752082,-3.3474907970543826
13,4,3.819721915899926,0.4635340639469711,-2.955202712975659
13,5,6.347838895795551,0.5326957371386405,-1.9497945156470209
13,6,6.9746716782264855,0.9632010142434485,-3.085787457192567
13,7,6.199571679417197,0.37676881879722535,-1.2364703615776107
13,8,4.533854774270731,0.7651183233984624,-4.113274998331221
13,9,3.47676138062419,0.21316542751770018,-3.375872358811476
14,0,7.082892721276147,0.6302718282017297,-2.4441484262308517
14,1,4.10464354872823,0.7128450818769969,-3.9778828070744865
14,2,3.489646770129073,0.38814635113760404,-2.4055888390906537
14,3,4.408065495936306,0.4624903491898782,-1.9392455040901202
14,4,7.570231860008918,0.3996975115255947,-0.6714197318397264
14,5,2.4612884893721194,0.489378363077541,-2.0868921332660495
14,6,3.819721915899926,0.38311328939708633,-3.6467105419856827
14,7,7.651241799104595,0.3919847855164957,-0.7681659003572094
14,8,7.6393104879398885,0.4095416347048591,-3.344952837006211
14,9,5.010100167520435,0.6791341986551959,-2.966780161400141
15,0,8.553305105976964,0.38814635113760404,-2.733827759898257
15,1,8.468571865705558,0.6962648563589873,-0.671162388488205
15,2,3.801184062733597,0.3876977783223571,-2.312758506658116
15,3,7.63956906771946,0.7632181384602177,-2.3254770110557152
15,4,4.401375352989557,0.5368343472421526,-4.006842235578644
15,5,3.798748830960678,0.6710177944337302,-0.6544342723048658
15,6,5.293744651742632,0.7508541366677282,-0.04492674887130221
15,7,7.7123732824315,0.388146351137604,-2.631887856467017
15,8,6.743154664983143,0.42221044845438266,-2.70766682789609
15,9,3.4753068225989705,0.38814635113760404,-1.4954563905733602
16,0,0.00010000362367127094,0.010062077356606811,-1.7397988270219908
16,1,2.6020917986882925,0.010000014970684035,-3.762357498437916
16,2,4.32705045561021,0.3960032692299133,-1.7469648481133735
16,3,3.8197219158999256,0.6299029614306214,-1.940901164167153
16,4,0.00010001576641368898,0.010062595264590446,-1.7463918030619439
16,5,0.00010000150513884851,0.02008037980151218,-1.749274672337284
16,6,0.00020634126582110378,0.010000001021331353,-1.7307521249898634
16,7,4.069165171562409,0.583887047216184,-1.730392227826867
16,8,0.00022100759731488745,0.010000001000094393,-1.735950383069877
16,9,6.138310736125939,0.7592952108118058,-1.602830020476464
17,0,3.668322835352382,0.6913075799150499,-0.600240369405262
17,1,6.745864091063368,0.4782026541606588,-1.9486418930689458
17,2,6.720216768237154,0.38720875772159175,-3.8854129493708327
17,3,4.345761359721528,0.6235869424260498,-2.39413755116456
17,4,7.782760985474644,0.49903150666062923,-2.3082277086274234
17,5,7.362681614014674,0.8196523913741887,-3.3475241575014723
17,6,6.180378084100073,0.5648231026088368,-2.5655968399663194
17,7,3.263568162713532,0.8003901374863549,-1.5273134254945067
17,8,7.639377194991916,0.7602851727799371,-3.3470686877411024
17,9,3.199665136327398,0.8057675499940262,-1.5091906589751491
18,0,0.00010000243536581468,0.010065162369598701,-3.910345212238767
18,1,0.00010001598425000887,0.010063245366893467,-3.844852764065241
18,2,0.00010001031637514105,0.010064985410081816,-3.8884608562639165
18,3,0.00010000376476172556,0.19393587680661561,-4.07230305746655
18,4,0.00010000161852631004,0.01006528028665311,-3.8522923846855037
18,5,9.589797739225224,0.010000000001510481,-3.9386366682847354
18,6,9.999999999990004,0.010035348488411519,-3.8762426245777237
18,7,0.00010001025864781306,0.010064234463513172,-3.922920890366665
18,8,0.00010000324657879331,0.010063307601845838,-3.8560622169130685
18,9,0.00015502218629838958,0.010000000056916846,-3.8415957865754016
19,0,0.00010001537602400846,0.010065235496904261,-2.115998521413246
19,1,0.00015948296431614483,0.010036443017116165,-2.097726115660914
19,2,3.704206421060095,0.6316026252724295,-2.2009112692465536
19,3,2.360756168200147,0.6785815207156051,-0.7086818250684965
19,4,0.00015960801377939274,0.0100368024606694,-2.0883129639150013
19,5,3.82052484401956,0.48307153585981527,-0.6827619590952364
19,6,5.551636841178041,0.8157712075905578,-4.124010829761383
19,7,2.7304168133996503,0.7659005969112734,-2.2508701529015243
