simu_idx,session_idx,delta1,delta2,hrate,nu_p
0,0,1.010000004095435,32.17715869504094,0.8949885312855792,2.886361066686184
0,1,315.5572689277429,76.61212966278056,0.19222280318949506,2.957669464171668
0,2,315.5309445163076,62.0325835181448,0.19226553844112015,2.957669712302504
0,3,315.5572082594301,76.61452931782716,0.19222285943713452,2.9576694698504693
0,4,315.5571883963902,76.61431010832004,0.19222288698833376,2.9576694718401364
0,5,315.5557622159096,76.69580682246453,0.19222674612004134,2.957669499404876
0,6,315.5973414581771,39.41458315532837,0.1922297600761072,2.957681829888901
0,7,317.6693061091738,499.4999364962127,0.18967959115987323,2.9575449935864957
0,8,315.5572384251106,76.61330934893837,0.1922228098528008,2.957669469478664
0,9,315.5572609323419,76.60801233503607,0.19222289099951245,2.957669473897804
1,0,474.4806722582289,1.0100000000890041,0.5913574204938948,2.3688631984734365
1,1,25.509965083306543,1.0100000166885306,0.9909830170750417,2.3710146154084755
1,2,446.0286532687775,499.4999978215337,0.5809526820892175,2.3686929947213753
1,3,499.49998675078916,499.499999167966,0.4652789706172297,2.3643121907981306
1,4,2.0323214250833574,499.4999991868366,0.8443542017659543,2.2749579134916953
1,5,442.00288169015187,499.49998562156696,0.5852834447654464,2.3685908555064077
1,6,440.8296081151746,41.333837308193274,0.5854979817204792,2.3686741709031134
1,7,440.8298067962197,41.59279151588342,0.5854978030374924,2.36867417058039
1,8,440.822376302921,27.0694225534659,0.5855042012448127,2.368674221874051
1,9,440.82975530141806,41.46790410637493,0.5854978126134351,2.368674170291094
2,0,129.89546324163842,410.52725189234053,0.40205070487006583,2.2664537467382573
2,1,129.89546374978352,410.52640018455173,0.4020507065533357,2.2664537468761856
2,2,129.9036039893991,389.71374040500086,0.4021073207185087,2.2664712238027938
2,3,130.78603045331036,499.49999804968513,0.40388461980544693,2.2666387339180116
2,4,129.89546383960737,410.5261051363222,0.4020507064279877,2.266453746979976
2,5,130.00232713527933,499.4999610445611,0.40141737697922464,2.266366384881675
2,6,131.19875269074774,499.4962883087459,0.3964180389267617,2.266748321424292
2,7,129.89311099392427,401.86696107472466,0.4020681708193756,2.266453783876113
2,8,129.89543348116194,410.5332394137576,0.40205078776733644,2.2664537469903436
2,9,129.89531276316248,409.97567753945805,0.4020500407301618,2.2664537153451922
3,0,4.57783938752878,1.0100323322567293,0.9907084017544893,1.1923242006564403
3,1,157.41314351972878,120.85359196273043,0.29603579141690234,1.1844296337372204
3,2,196.7783507142569,499.4998666489534,0.2271564158401373,1.1856647480446416
3,3,157.59689693656438,463.89996032188077,0.29558526320482603,1.1844420778971632
3,4,157.596907873655,463.89947578496043,0.29558528962947517,1.1844420788270018
3,5,152.44898884841368,499.4999538580032,0.16050121390746133,1.1687345778426814
3,6,157.59690795253,463.90471781895906,0.2955852876044755,1.184442078839298
3,7,157.59662652946125,464.28350309917886,0.29558520430938995,1.1844420346835938
3,8,157.5955940284545,472.5635310272926,0.29557628807287184,1.184442267024588
3,9,160.31589349618613,499.4999368151491,0.28908160274781614,1.1842729546606579
4,0,20.587323468754477,1.010002143294895,0.994748766823434,2.358453126029993
4,1,499.49996682905277,499.49999928557656,0.5674241158231991,2.3564787128993268
4,2,467.5196692942814,144.37376269495206,0.6184488556624012,2.3566597696278513
4,3,467.5389587984506,195.8081619664069,0.6184350603533203,2.356659748564123
4,4,499.4999999021318,8.961077422602523,0.7327741631934114,2.357808369326866
4,5,499.49998522834517,499.49809075947724,0.2891916675768566,2.344595454188614
4,6,475.81913907255733,499.499999999801,0.6168051235399604,2.3566705431178137
4,7,499.4999740744944,499.4999995783935,0.5178972751625575,2.3525091113755576
4,8,467.538923882787,195.85884003909206,0.6184350756507826,2.3566597484920178
4,9,1.300693712601131,27.54564966102282,0.9853958010814076,2.348484683296326
5,0,489.9345869821103,499.4999999997826,0.762283954457863,1.2215087188358515
5,1,499.499999433055,499.49997474756333,0.682093484822566,1.2206827900843453
5,2,499.49999940289734,272.95319790832605,0.8344050021310101,1.2205888641649243
5,3,1.0100000003258862,499.4999503657754,0.034714382618001194,0.28863860305572764
5,4,258.01530804722836,499.4999999999481,0.9232989689334163,1.2212356185071356
5,5,372.4065596049914,499.49987391974685,0.9175591203539075,1.2212760577900583
5,6,499.4839110841435,56.999269040931814,0.01736273989598096,1.2150282221767161
5,7,20.183357333388795,1.0100309720919167,0.9967019518475317,1.221390633106101
5,8,372.38414848287016,149.75708539365598,0.9175645373758414,1.2212760617006742
5,9,499.49999852607226,499.49998523482066,0.68886022093476,1.2207104972605136
6,0,119.11725987869194,499.4999995224866,0.2869827121119323,4.955349928619049
