simu_idx,session_idx,T1,T2
0,0,0.02464016506573875,1.6032209905746049
0,1,0.1668305931132369,1.2859000136321659
0,2,0.19960080702881172,1.16710496599487
0,3,0.18253362930826333,1.1347751750988084
0,4,0.15598531573322477,1.2609109438907549
0,5,0.19883635222099988,1.2734565972325176
0,6,0.1988820244536666,1.27973028863935
0,7,0.2134750136738803,1.255981563513775
0,8,0.2120965625638706,1.1753883547780761
0,9,0.029083416690056048,1.9156398081147996
1,0,0.03361823548860103,1.5317508027178364
1,1,0.18949041853542165,1.4523185019370546
1,2,0.30033708458821534,1.0566063407205664
1,3,0.15688334788449912,1.569654331582541
1,4,0.011246101930150054,1.5018475038043906
1,5,0.15683302826005263,1.3787122477286458
1,6,0.1904395253061586,1.380620845187898
1,7,0.18366022283035285,1.227604525768752
1,8,0.15634472898947588,1.9323269666715661
1,9,0.30174119130874905,1.2235180761223907
2,0,0.11197692508738688,1.346588145891234
2,1,0.11011556273464024,1.3262951467051673
2,2,0.06898730535672311,1.433766801163181
2,3,0.12247809231644076,1.3767056901597183
2,4,0.0590300364407933,2.0114911472060517
2,5,0.1462003366893855,1.214228681871717
2,6,0.19737227087952688,1.18595014962823
2,7,0.06613602796646556,1.442828011366894
2,8,0.1544941551540443,1.2126505675221275
2,9,0.06997649470159396,1.8665763342079762
3,0,0.3090638999265988,2.23005779912878
3,1,0.492042549064901,6.251528031599326
3,2,0.45813242553257955,1.7210043938386281
3,3,0.7686266184877449,4.092292933241235
3,4,0.11205868281548956,2.330345508722122
3,5,0.5730494999842465,1.5387219365356115
3,6,0.7729644729558764,3.184021998130614
3,7,0.013364339357768852,2.94667166590249
3,8,0.33632552086129447,4.938154235401306
3,9,0.7697594256481549,4.292943442002552
4,0,0.30210520626802784,1.502343553038537
4,1,0.0785038835934349,1.657533252733318
4,2,0.09077831912690099,1.5107446485821647
4,3,0.09100994404759424,1.5140295073651333
4,4,0.12172537074686544,1.5203335907763365
4,5,0.05717502935552436,1.5013946437725296
4,6,0.025183326829733014,1.5028708543904863
4,7,0.07126311354004211,1.502872262809646
4,8,0.022866407381285675,1.502837482029188
4,9,0.3133873237638179,1.7711783256832336
5,0,0.023265081849675323,1.533053629488914
5,1,0.01932112812291791,1.5410225108526265
5,2,0.01980410334226368,1.5419720931991463
5,3,0.24180650702613202,1.0039068722395155
5,4,0.026609348764705082,1.5307953399846335
5,5,0.019362734697794193,1.5412445241868216
5,6,0.11926407804999628,1.039417392048806
5,7,0.26801944765367774,1.0039134587007685
5,8,0.5279861983194869,0.8453199019924813
5,9,0.16325850924356833,1.3590669501682342
6,0,0.1956018007298504,1.5517815916896964
6,1,0.12148350159305321,1.40227898174327
6,2,0.056915445757065135,1.5412716408038456
6,3,0.08195548495612283,1.5133843806292198
6,4,0.2353317375864353,1.3786486356237644
6,5,0.07963877442863934,1.5231923177398077
6,6,0.7701781388142542,0.9510441199530462
6,7,0.12000201102199062,1.647228526944327
6,8,0.04385909739371839,1.4425333293116998
6,9,0.12165531309257224,1.404944772410065
7,0,0.07857262285762562,1.375966269857708
7,1,0.07956615964198757,1.3767535157592115
7,2,0.07469547272629098,1.4339031748584818
7,3,0.06448046463119622,1.5581579764663909
7,4,0.0447824014182219,1.5538248425835672
7,5,0.07857262320277411,1.3766569267938111
7,6,0.07434092370437843,1.3816018133695704
7,7,0.1520865896158155,1.1299196521802377
7,8,0.0735341271162007,1.4108157352762742
7,9,0.2585611806289916,1.10601124161447
8,0,0.028832227895886662,1.8795614757985886
8,1,0.12910905971617584,2.2558707469066164
8,2,0.07848650710774419,2.1484525363373494
8,3,0.07847090619070665,2.3633435443176274
8,4,0.08500407198932527,2.1164812088309315
8,5,0.09436409528214577,2.3930208851231485
8,6,0.01369271001788455,1.5429574991569805
8,7,0.13275677226567476,2.2296252048188805
8,8,0.07841384520144229,2.1557717993339627
8,9,0.07870477725187983,2.458110997813411
9,0,0.07002551043858804,1.3877894256784291
9,1,0.22432548137930097,1.3786501083290554
9,2,0.12364988356759232,1.3870864014133357
9,3,0.17682631682297492,1.3755072164220834
9,4,0.13704549566548968,1.519052729242405
9,5,0.24933193931453024,1.0723900130230395
9,6,0.2943944769029909,1.0913451945562838
9,7,0.22612287383172547,1.4094535094985183
9,8,0.1626470636891626,1.1155452830358457
9,9,0.1200991512733772,1.517141939145765
10,0,0.11990190688951648,1.4791563629752547
10,1,0.3014466614791465,1.0014196429671516
10,2,0.2650099738417847,1.109431580837638
10,3,0.2510532924311966,1.2030301455348114
10,4,0.3009427194044532,1.1529935486104008
10,5,0.47629946479992696,0.7261788324397156
10,6,0.30078885774853575,1.1631192385981597
10,7,0.5515093563584508,0.6877230795044507
10,8,0.31714799669745397,1.1080287783718694
10,9,0.38812943772225056,1.0147789146956927
11,0,0.26130135679216265,1.6835043434621013
11,1,0.05080533966032405,1.63045125996184
11,2,0.05755814507393941,1.5324070046147749
11,3,0.11415657856167595,1.6639937502616347
11,4,0.33848661271554703,1.1417094447980654
11,5,0.26034962879106166,4.276469182431017
11,6,0.3434019172400485,1.0883559939549239
11,7,0.10034535136296588,1.5879771107664933
11,8,0.15282584583222145,1.7978547946151464
11,9,0.3264591700983148,1.0126255333291034
12,0,0.12848669602971918,1.3786660037461982
12,1,0.27238204778024433,1.0530696150297758
12,2,0.27764074991164717,1.0619425721347981
12,3,0.12239117665097166,1.5461546762540677
12,4,0.12855579167859105,1.378665993689649
12,5,0.1232709080142416,1.6929697269093784
12,6,0.1275169252122647,1.432177763480829
12,7,0.11888689901965357,1.3296994604041568
12,8,0.30196673793202594,1.149560977332458
12,9,0.2723233859579557,1.0827308752933738
13,0,0.5499363600251362,1.0056721810901177
13,1,0.05193031680807665,1.5046256899262678
13,2,0.16696787074766142,1.4959939009848497
13,3,0.052294883618013197,1.5018923981498746
13,4,0.15829905075401865,1.458665042671075
13,5,0.04567119130514264,1.5412592265728853
13,6,0.026507461195230255,1.5529755104002192
13,7,0.052383679439762826,1.5795646945888524
13,8,0.05195071831538563,1.5839701199410343
13,9,0.0438388380239704,1.5203252625733077
14,0,0.12054324178219103,1.5085482512825905
14,1,0.2319624973544936,1.12208842837925
14,2,0.26619528240999357,1.0242989586767095
14,3,0.5940525456454336,2.0521140686800905
14,4,0.21995262960860434,1.276003159110474
14,5,0.5115419090834717,0.8516440370666201
14,6,0.08563176139554936,1.510373304962665
14,7,0.05626325228264136,1.534603657263982
14,8,0.05164317350721293,1.5410419484306788
14,9,0.5077645442983558,1.1709935147982107
15,0,0.1035985621034924,1.588425643971927
15,1,0.3540667359174839,1.1279433022253205
15,2,0.17364518031663664,1.1245650713323792
15,3,0.3473447275101332,1.0003905214832884
15,4,0.3739620420481285,1.173797705119654
15,5,0.16585836424179343,1.091125015385526
15,6,0.3542031788567762,1.1270714651824554
15,7,0.17002976706171571,1.1428580688161154
15,8,0.323847466300002,6.831907007824567
15,9,0.3394212609451058,1.015071006700914
16,0,0.15358111661021828,1.7513600808844727
16,1,0.030236372093207158,1.9859795695296902
