simu_idx,session_idx,lamda,omega,v0
0,0,0.17755061195534827,0.999945431895831,0.9999999965897756
0,1,0.18704196521610233,0.9999419536448707,0.9999999959196995
0,2,0.17878269797698662,0.999942306610487,0.9999369679169627
0,3,0.1899411728924934,0.9999363591824721,0.999934126825742
0,4,0.1776353032377004,0.9999598918329236,0.9999397541368787
0,5,0.1811090870963493,0.9999488238255309,0.9999999961904548
0,6,0.19006960159657654,0.9999338930386481,0.9999338930386481
0,7,0.17644892025677986,0.9999385563001517,0.9999342807424247
0,8,0.1781030167265347,0.9999436985123369,0.9999999969353435
0,9,0.1718790107130282,0.9999564151305872,0.9999402245947305
1,0,0.0956862880576771,0.9999338930386481,0.9999338930386481
1,1,0.11251120138203746,0.9999671969059382,0.999999996521165
1,2,0.1011951766394144,0.9999338930488914,0.9999999999999163
1,3,0.14437324256761677,0.999935988659618,0.9999999973984101
1,4,0.13114276001252398,0.9999358328710662,0.9999999969833896
1,5,0.11058627758044422,0.9999999981125118,0.99998068760714
1,6,0.10292057949577332,0.9999338930386481,0.9999338930386481
1,7,0.12409439698829641,0.9999374473487023,0.9999339257194657
1,8,0.1635605871417846,0.9999346015582582,0.9999999983307587
1,9,0.12236859501026691,0.9999492382806239,0.9999364694164867
2,0,0.07535922821869773,0.9999338930386481,0.9999338930386481
2,1,0.0752149158028272,0.9999382932197841,0.9999340383139435
2,2,0.07465133392963491,0.9999338930386481,0.9999338930386481
2,3,0.07681824490053124,0.9999999977575739,0.9999360265377982
2,4,0.07375231383042011,0.9999510874371308,0.9999999970389893
2,5,0.07922215694437214,0.9999368691742909,0.9999999975129197
2,6,0.07621004473205582,0.99993724416058,0.9999339191325691
2,7,0.07516156631476628,0.9999338938166418,0.9999340660461105
2,8,0.09841511126152504,0.9999365756019417,0.9999999983307587
2,9,0.07510912252426659,0.9999338930386481,0.9999338930386481
3,0,0.14997344621853345,0.9999530075899594,0.9999999976138629
3,1,0.14092440330183387,0.9999467424677787,0.99993433635664
3,2,0.1960243662224614,0.9999342497181707,0.9999999983307587
3,3,0.13751975409954698,0.9999338930386481,0.9999338930386481
3,4,0.14667244976015456,0.9999350743866015,0.9999999975493987
3,5,0.13597651861834006,0.9999999979661405,0.9999429353592565
3,6,0.14766585654674264,0.9999397167708176,0.9999341979288895
3,7,0.13241970342004675,0.9999377155178801,0.9999340011262015
3,8,0.13256810585073628,0.999941227430857,0.9999346412799588
3,9,0.14363301954119806,0.9999338930386481,0.9999338930386481
4,0,0.2450082976538813,0.9999999999999786,0.9999596443140916
4,1,0.23037956713970398,0.9999339335356352,0.9999686329288181
4,2,0.2310872556311781,0.9999422337230107,0.9999999975258805
4,3,0.23239345957840943,0.999933893038637,0.9999999997835308
4,4,0.22782190951121423,0.9999405114564599,0.9999341282563262
4,5,0.22730740710716807,0.9999999999999277,0.9999676802364567
4,6,0.21824328102657345,0.9999435463868954,0.9999999986501803
4,7,0.21446333007841492,0.9999385677832014,0.9999347171402031
4,8,0.22623524605436343,0.999936372071978,0.9999340215147516
4,9,0.20999074587192465,0.9999326773926787,0.9991294262179049
5,0,0.14506165616612926,0.9999338930386481,0.9999338930386481
5,1,0.15706343166127054,0.9999348145095545,0.9999999978567038
5,2,0.16008622312183657,0.9999342274520482,0.9999999975614611
5,3,0.15683108536992246,0.9999403899387111,0.9999355012148896
5,4,0.1496177612043335,0.9999338930424956,0.9999999999999157
5,5,0.16169921998032313,0.9999726078940794,0.9999429120479792
5,6,0.14344510812663638,0.9999723654768597,0.9999999966246493
5,7,0.164664731038946,0.9999338930386481,0.9999338930386481
5,8,0.14227669435083223,0.9999364010993527,0.9999339136800868
5,9,0.16617714646854756,0.9999381105443739,0.9999339588573648
6,0,0.18723186313170698,0.9999339765226632,0.9999999983047507
6,1,0.15792455311696843,0.9999370117222601,0.9999339278222644
6,2,0.19526392967666656,0.9999343753771321,0.9999999972991109
6,3,0.16976982848070535,0.999946694356039,0.99999999772504
6,4,0.16395096840586174,0.9999384996491897,0.9999339209596845
6,5,0.16462967089383718,0.9999366696522152,0.9999339624609206
6,6,0.16032062591553745,0.9999358705872196,0.9999999970865151
6,7,0.17021568550779761,0.9999338930386481,0.9999338930386481
6,8,0.15119163685934184,0.9999391049217505,0.9999343459349712
6,9,0.146828749340683,0.999938005386473,0.9999340504185906
7,0,0.21924385227123142,0.9999382610713042,0.999999997630501
7,1,0.1808570403653468,0.9999373359638505,0.9999341253948076
7,2,0.19611168139054813,0.9999439595888424,0.9999351149313938
7,3,0.2080860860155331,0.9999338933937627,0.9999997319583146
7,4,0.2025533504091889,0.9999472371432997,0.9999348501259584
7,5,0.2136081845612949,0.9999338930411049,0.9999999999999771
7,6,0.20266574183227928,0.9999445265423007,0.9999999975136583
7,7,0.20076775292997445,0.9999345889826411,0.9999999975129197
7,8,0.2027513276107236,0.9999478122068733,0.9999999975620398
7,9,0.22355264237589628,0.9999338930386481,0.9999338930386481
8,0,0.10746428591699755,0.9999572373455167,0.9999359065839908
8,1,0.1003458484211944,0.9999999972169453,0.9999342979926976
8,2,0.08495232044524577,0.9999377682764001,0.9999340131790397
8,3,0.08998268855676207,0.9999788970667955,0.9999999978523816
8,4,0.10202784513400587,0.9999408083735775,0.9999339964011539
8,5,0.10218913335331539,0.9999393851675101,0.9999339211828239
8,6,0.0963066123998978,0.9999338930386481,0.9999338930386481
8,7,0.09529197203605655,0.9999338930440788,0.9999999999999407
8,8,0.11233807424498211,0.9999675188550823,0.9999999971530963
8,9,0.12179579272908737,0.9999353471148446,0.9999999975129197
9,0,0.23993504086564535,0.9999999969268366,0.5156116465688562
9,1,0.2463443989042055,0.9999999999999654,0.320677706399285
9,2,0.22161085728983754,0.9999999973641867,0.6498668586283988
9,3,0.24148048002197203,0.9999999958581102,0.4578197595506376
9,4,0.23835574582301758,0.999999997035916,0.45664133853619343
9,5,0.21266717045695102,0.99999999666056,0.605371655832529
9,6,0.23056702541811214,0.9999999973401998,0.4354418187833074
9,7,0.2577903812843595,0.9999999961277658,0.27431208954070935
9,8,0.2507951431388305,0.9999999977370573,0.3549483210014019
9,9,0.2504625749543456,0.9999999978214509,0.4513219284751423
10,0,0.24855486290975534,0.9999340051347555,0.9999999983907004
10,1,0.20459027188256282,0.9999340993517747,0.9999999973875093
10,2,0.17297992299282125,0.9999438695737483,0.9999346243271865
10,3,0.18536762051527256,0.9999338930386481,0.9999338930386481
10,4,0.16456605137666844,0.9999544302129663,0.9999999975129197
10,5,0.2003606542939852,0.9999338930386481,0.9999338930386481
10,6,0.19794772309950126,0.9999338930386481,0.9999338930386481
10,7,0.19947706470993526,0.9999355013920231,0.9999342544814128
10,8,0.18163720472891454,0.9999338930421955,0.9999999999998228
10,9,0.18057888022109675,0.9999999999999556,0.9999338944782281
11,0,0.09995943594839374,0.9999338930444162,0.9999999999999687
11,1,0.10171510028449424,0.9999431785299692,0.9999342489363781
11,2,0.09890803378510407,0.9999338918297529,0.9999338675002996
11,3,0.09303013892235354,0.9999338930420482,0.9999999999999563
11,4,0.12475946916583755,0.9999377945307908,0.9999999979910323
11,5,0.10832348703608848,0.9999536765478918,0.9999354966088245
11,6,0.0968379740432144,0.9999338930394595,0.9999999999999599
11,7,0.0941221342080685,0.9999395310280849,0.9999344475722047
11,8,0.1016344777766571,0.9999391802194082,0.9999339318728749
11,9,0.09477240939308158,0.9999338930386481,0.9999338930386481
12,0,0.15656235780882086,0.9999363694693251,0.999999997711615
12,1,0.16261569698254202,0.9999481306747594,0.9999999962974137
12,2,0.14735987859731178,0.9999338930386481,0.9999338930386481
12,3,0.152154630717134,0.9999792956677519,0.9999999973430744
12,4,0.20770363663596467,0.9999345959336294,0.9999999983307587
12,5,0.1644902388259468,0.9999505647418526,0.9999999975129197
12,6,0.1630937350525554,0.9999395161134597,0.9999999979491392
12,7,0.1348452627852499,0.9999408610446315,0.999934208709393
12,8,0.1586780173774577,0.9999366631413769,0.9999999964540875
12,9,0.132838132987731,0.9999338930386481,0.9999338930386481
13,0,0.157681514833045,0.9999446272967244,0.9999351936433154
13,1,0.12696150684175117,0.9999367436127655,0.9999339372174911
13,2,0.14353951079033525,0.9999367119052412,0.9999340489608987
13,3,0.16830496023291933,0.9999344249900506,0.9999999972991109
13,4,0.1499381924441858,0.9999404755839887,0.9999340210237572
13,5,0.1388282587425817,0.9999493357426248,0.9999350042181101
13,6,0.14581908712862068,0.9999999976094516,0.99997980239795
13,7,0.13191500896225178,0.9999338930386481,0.9999338930386481
13,8,0.14479242280431862,0.9999379470309163,0.9999340432601665
