simu_idx,session_idx,T1,T2
0,0,0.8943567943509539,17.872359877657384
0,1,0.8972095083653512,17.082244828656876
0,2,0.6875117807191314,13.745744975851329
0,3,0.4951942439781558,7.639981319691723
0,4,0.8825248420355349,14.497080116901515
0,5,0.89676913626947,17.082240173561384
0,6,0.8971052793781368,17.082244828656876
0,7,0.8958570696500276,17.082244828656876
0,8,0.8970790603276961,17.082244828656876
0,9,0.688137442864208,12.36110120664515
1,0,0.7489631447411316,12.345972678648042
1,1,0.8130539022865712,9.51056248989681
1,2,0.7431425019198812,11.865176020160888
1,3,0.744901782867887,11.30292162043076
1,4,0.7611813110794707,15.278940106199752
1,5,0.7605145442016701,14.938760113307199
1,6,0.8384424948952227,7.639977923857074
1,7,0.8160669719342314,10.186990767114603
1,8,0.7082697874570413,12.037496231427724
1,9,0.812889991055685,7.639998694973049
2,0,0.307799688496217,10.277220021666363
2,1,0.289797474851211,7.577888569937466
2,2,0.3069275104066557,9.62832156739439
2,3,0.2759888923059846,10.005282819522206
2,4,0.30654304564385604,8.595774993186824
2,5,0.27708117306647934,12.361120302439264
2,6,0.40786761534489946,14.875551465161484
2,7,0.2517819759901993,14.635258218708426
2,8,0.34376476953923063,13.831228534938404
2,9,0.3043895904744158,9.548479568239745
3,0,0.5400591906344739,1.0811339381549605
3,1,0.5951781667448609,1.0534424170970331
3,2,0.7007439966204485,1.0129863695813341
3,3,0.6804135668335983,1.1155693578162842
3,4,0.6650442714110655,1.0759970107724983
3,5,0.6066257059620438,1.1155405132316794
3,6,0.666661797252654,1.0967696434424583
3,7,0.5144229456152491,8.637040196561049
3,8,0.6271585932688063,3.4907575070423054
3,9,0.655542487832369,10.10140032717732
4,0,1.3223243804908966,10.742291959327087
4,1,1.270774088085829,6.617564435509359
4,2,1.287364929098184,7.6400033096809326
4,3,1.3117960853757547,8.057532500085854
4,4,1.2751466260511288,7.2085986338804515
4,5,1.3236031700787556,7.639996027055881
4,6,1.293120144314397,7.639984956035433
4,7,1.2938606509118284,7.639984927401359
4,8,1.2707485513840524,7.639995959323224
4,9,1.3597630087414336,7.640002489087941
5,0,0.0793861590829818,1.7997827900497323
5,1,0.08171185502719923,1.8031674141213192
