,HMM_pc,changepoint_T1,changepoint_T2,delta_lr,p_hall_lr,p_hall_w,reduced_bayes_pc,reduced_bayes_lamda_pc,reduced_bayes_lamda,PID_kp,PID_ki,PID_kd,PID_lamda,mixed_delta_delta1,mixed_delta_delta2,mixed_delta_hrate,mixed_delta_nu_p,VKF_lamda,VKF_omega,VKF_v0,HGF_nu,HGF_kappa,HGF_omega
0,0.0008243559635876,0.1171490474640074,6.333856532963235,0.0521338143085596,0.0520319086883717,3.0358076007259996e-14,0.0162019881716084,0.0227332466519041,0.2860627510883896,-0.08315770153937117,0.22232596386357956,0.05652904983261308,0.9971517253014863,6.957077182337949,16.176950119100372,0.0003295155389053,4.685079297225982,0.5969298381921936,0.0288201683319128,0.9999339042144306,0.0001000013152855,0.2802317232476249,-4.4736379107257775
1,0.0001153962842264,0.7716370823116105,15.27893612361114,0.0444216005483647,0.0444220146752406,4.184060994706991e-14,0.0144305637421678,0.0210387105472892,0.1102259115926799,-0.05183970766734621,0.19215855451187952,0.03397612524463,0.9990420129268336,5.286377551215528,15.07547323749666,0.0003616271470993,4.999962202406133,0.8889422508970614,0.0241015269641582,0.1789468632945074,0.0001000011019446,0.1238587703357825,-4.726442148480481
2,0.0001000039326802,0.2999594126076557,10.0564839486919,0.040075064434025,0.0345714657456896,2.020531013870358e-15,0.0125618085793752,0.0164901742992631,2.628942968538068e-09,-0.03625022534447257,0.15092032173201997,-0.1776925869863638,0.9999407383720252,6.280296827618286,15.860856751718655,6.142790996549698e-05,4.99994138262836,0.4567963644291663,0.0153228349941047,0.9999591340807256,9.999999973561511,0.0335336068243954,-4.943333223467488
3,0.0064843226025365,0.2497961294756608,2.5509194272142084,0.0713409289381739,0.0651287536410348,7.62729644807605e-10,0.0212710633491663,0.0324253653188568,0.2136651060357915,-0.27055010312791294,0.3198078525957566,0.14612449789023083,0.9926679410153866,5.742746383650182,10.599716131582657,0.0023247520591507,3.26003697693176,0.9999999977581396,0.0665542078489276,0.999963061994344,7.796712970894831,0.238005854143962,-4.157407126122562
4,0.010224577941514,0.1700619070830991,1.056211126517548,0.0753386308722516,0.068263470275855,2.062585042839817e-13,0.0226473229230153,0.0325313880351552,0.3514331928687746,-0.44888666257781795,0.31895289918905545,0.2009578302152428,0.9857832943797012,5.645260991750201,7.6501431983040575,0.004666538837163,3.4347972700809404,0.999937627705548,0.0748103568099861,1.669241254301354e-09,2.360095105197323,0.7582757522260969,-3.326789766537084
5,0.0075357310292713,0.5190327836360678,1.0532431826894029,0.0861242265413556,0.087110967200653,1.8163449683785944e-14,0.024069374844041,0.0411275887634739,0.1026663211434635,-0.5260038049264051,0.39308514168742836,0.23692167885426524,0.9947926325202736,5.257487333287142,5.810275453499257,0.0017163578524795,2.385911266196052,0.9999999985495436,0.0981483330681841,0.9999762388080976,0.2204514715653621,0.1407181715029411,-3.1414336645642886
6,0.0044080333491093,0.1280822952810967,2.8095132152712803,0.0832766812298719,0.0832430358307952,1.1286109480356156e-13,0.0250053632787389,0.0412571776385501,1.820670710484921e-06,-0.6670879194438281,0.41208288223201417,0.34920363768282814,0.9984936444621637,1.021049376772278,7.901315868747346,0.0012761526320038,2.991756165952704,0.6579272469785498,0.1063721427855488,0.9999999964636248,5.574004627036416,0.6219202947785545,-0.6845201115670321
7,0.0001000039326802,0.5159776920304803,12.36112134663858,0.0614212059682573,0.0613581640855472,2.4575545751409874e-15,0.0249222139506035,0.029013053628263,2.7675688665219677e-14,-0.2373247324259648,0.3173948318332098,0.12946459275468739,0.999999998204294,6.205277443216285,13.507888788330083,8.305458174151284e-05,3.743667024511721,0.8613635473772446,0.0528501737288303,0.9999999988498512,7.093930798872734,0.6312440013211353,-3.975020204031814
8,0.0017666209255152,0.4790178470640698,4.506568463366773,0.060676356582135,0.0605962181856077,7.037693159876527e-15,0.0213554141445794,0.0287601294842986,0.0712769310040001,-0.2972229588429222,0.2859799942352243,0.16147009961749148,0.998921602907086,6.170995475147559,12.249871905596448,0.0011093601504538,3.975085380891265,0.5944828016700469,0.0476109414134139,0.9999343857980956,0.6224593651612516,0.2392477004514502,-3.764456062060955
9,0.002155139246522,0.754649433797089,4.722183087647729,0.034813578007765,0.0348099835174201,2.2876717125126374e-09,0.018786856552662,0.0153688100021744,0.30386328276582,-0.21412071959108825,0.1499814667297904,0.10000319213232454,0.9954255956868238,4.565017916102555,10.2731597972122,6.596336876896242e-05,4.99995567024757,0.9999997480340856,0.0135242003471713,0.6847506440340158,0.0001596080137793,0.0100654458917383,-4.999965819204078
