subject_idx,nu,kappa,omega
0,3.719518612123105,0.25867816650435993,-1.7214640225136368
0,7.961385314131585,0.32909865443733965,0.34653415715202396
0,0.00010001661279217315,0.1715140924796209,-4.400269528172208
0,0.039181841275942896,0.010000003356669701,-4.414128950459228
0,0.00015960801377939274,0.010078777562132596,-4.214882960929198
0,7.632012530755022,0.7655321700797871,-3.3491721946523105
0,0.00010000254320166425,0.14459594408045157,-4.322454846989026
0,6.3021039262189,0.812993101785021,0.5921049591361314
0,9.850471674011857,0.3813484499657039,-1.581110412265323
0,3.937949763070664,0.33371925729068513,-1.427637372322484
1,0.00015960801377939274,0.010187430829355476,-4.62316977680998
1,0.00010000091137146997,0.20096221656919405,-4.996076865207271
1,0.00010001578047158077,0.1005044213752261,-4.805598050064452
1,0.0001596080137793443,0.010093445047216473,-4.716197202900112
1,0.00015960801377938594,0.010190493123584717,-4.568363599034322
1,0.00010000061896495448,0.3450786030297497,-4.9589666513125925
1,0.00010000372319271078,0.08457871366641737,-4.624791902419149
1,0.00010000032090402988,0.01020722423576551,-4.553741372600084
1,0.00010000222402274595,0.3747818791240383,-4.8419423872997545
1,0.00010001575381500858,0.09364763519630978,-4.576836194065627
2,9.999999984961827,0.012688403173805533,-4.998252706837617
2,9.99994039198622,0.3171946132066026,-0.04043091636118579
2,3.8216702744030835,0.515390593094403,-3.975706830672893
2,9.999999203253834,0.011084132520153181,-4.950353578073569
2,2.2457865109062416,0.1058886739295574,-4.999742300106473
2,9.99994039198622,0.38814635113760404,-1.5871599379799655
2,9.999982335769594,0.03714308462169606,-4.999965170032987
2,0.6806183148783217,0.029480741511789005,-4.884343623300177
2,2.380284027974227,0.626499106473514,-4.692418788052959
2,7.007573019904739,0.01019887060607065,-4.930785236935551
3,0.00010001537084822296,0.11832108452359479,-3.676651114067518
3,3.4642091706151117,0.4417008384609915,-3.5207143047365985
3,0.00010000361242879302,0.04624079715028807,-3.5958924500995906
3,0.00010001669224561887,0.0100631050637112,-3.4858310437543536
3,0.00015960801377939274,0.010065445891738377,-3.4558246606846303
3,0.00010000522883507073,0.010065445892566631,-3.399776608094903
3,0.00010001537084822296,0.04114958192521568,-3.538609554025504
3,0.00010001669224561893,0.0439213998479109,-3.5825090192820666
3,0.0006719953886785938,0.010000002984928877,-3.454966558728084
3,4.829830984397665,0.01000000000152111,-3.397272745374711
4,3.819721915899926,0.2064700660189942,-3.4661355197120045
4,3.404298501745627,0.010000005480483576,-3.5002149390159722
4,0.000100000952275596,0.07828722387206263,-3.3869126001218985
4,0.00011770774564569698,0.12298188477454552,-3.3838103519285734
4,0.00010000622187039988,0.010060115547357605,-3.362787413751897
4,0.00010001031637514105,0.010065447022591115,-3.3428892158567742
4,0.0001000023257743676,0.09459987192075137,-3.4080585174198466
4,2.1222271573169285,0.24108420764040356,-3.363750249358285
4,6.08710158581601,0.6387993013608806,-1.8670100452105125
4,0.00015960801377939274,0.010065445891738377,-3.368016353198866
5,9.99994039198622,0.3627691967953614,-1.5082532008621694
5,7.326335932556511,0.24360333643117627,-2.3246864459342906
5,0.25407513631400636,0.12264722235206235,-3.108288121831343
5,2.48752178627163,0.6153228544165552,-1.0026180658145667
5,4.954879686003911,0.37706806922051295,-3.277275774246164
5,1.6051630435034432,0.05578652381918327,-2.998328782950219
5,6.845437353411337,0.3545221244806692,-3.1000323856978294
5,0.02691552627249768,0.3575682381376226,-3.367049590770807
5,7.541257256627144,0.2650579048607298,-2.6106434831078564
5,6.310582266950446,0.35707516082958435,-0.6606086792783166
6,0.2933084706303036,0.2505834406148558,-3.3676675090990975
6,3.878082528099484,0.8816685706569323,-3.326943756573263
6,2.710821241125565,0.6668260778555664,0.3609931959122079
6,4.22490350775244,0.2026281334290272,-0.6279504054322609
6,2.2581665354738956,0.6226110161223183,-2.339325692697994
6,7.389587629243764,0.8581011074300885,-0.6853583562849894
6,2.360756168200147,0.18753566662028104,-3.4095016663985853
6,9.999940391986222,0.24398453097104364,-1.2678649824321602
6,5.199546341075772,0.6088295875409352,-0.7224028454078653
6,2.4164088704733255,0.17595893567818527,-3.3581501179298066
7,0.0001596080137793443,0.010065445891738377,-4.005415968548591
7,0.09105269005419636,0.5006851518713006,-4.000307940586433
7,0.00015960801377945533,0.010065445891738377,-4.0920286230202905
7,0.00010000243536581468,0.010163702263573063,-4.042935629074441
7,6.655313690378909,0.4387839806274282,-0.05654732102743547
7,0.0001000025826316129,0.24579112621260116,-4.210898516415108
7,0.00010000057491188235,0.010061533940518123,-3.855929290997316
7,2.3624668073231385,0.3043511525782283,-2.298508224957747
7,0.0001001922043233977,0.06387183070441842,-3.845086245499859
7,0.0007990971841006165,0.010030013070004217,-4.02005972329943
8,4.001087001597034,0.6229665565039239,-0.6687944108987551
8,2.170673433505904,0.6011595717881977,-3.7827965637102405
