subject_idx,p_c
0,0.005512431323549949
0,0.006397754108626373
0,0.006565481152366493
0,0.005854725638457322
0,0.006864405473832596
0,0.006917009455133696
0,0.006784083802158901
0,0.00715943395975635
0,0.006832158084639361
0,0.006860296601561153
1,0.0006459701027982111
1,0.000785564082256964
1,0.0005595720787250618
1,0.0008228958620253639
1,0.0006829444722265053
1,0.0004420784351198584
1,0.0004195136313683559
1,0.00031564855606800634
1,0.00014264450391170242
1,0.0005750299639455828
2,0.0030584682068482785
2,0.0031651816832193444
2,0.0030030885334492723
2,0.0029960618515760995
2,0.003184389624089283
2,0.003161308999804694
2,0.002876782605980948
2,0.003324135428999236
2,0.002562064139304741
2,0.0031250919932364718
3,0.006441859243446019
3,0.0064592272876375055
3,0.006100111721219317
3,0.006353335675232807
3,0.00708813764606449
3,0.006709127685905276
3,0.00671861059141273
3,0.0074355586506620235
3,0.007091146784554624
3,0.0068182096790094845
4,0.00010000393268029224
4,0.00010000393268029224
4,0.00010000393268029224
4,0.00010000393268029224
4,0.0001237042620722674
4,0.00015297428652795366
4,0.00010000393268029224
4,0.00010000393268029224
4,0.00010000393268029224
4,0.00010000393268029224
5,0.002380316971859173
5,0.0021848868699059984
5,0.002251041431245882
5,0.0021426865583415943
5,0.0023428117906479063
5,0.002322126622562426
5,0.0028502470791269474
5,0.0022782519835996113
5,0.0014935796238450749
5,0.0024300162767446863
6,0.014382652157899831
6,0.01431145341392494
6,0.0155141138519169
6,0.015037395288398519
6,0.011314687971149285
6,0.012886658960062676
6,0.011996647999442774
6,0.012256833375882164
6,0.012234473027227934
6,0.01247833341595391
7,0.004308355062713879
7,0.0034833077921589384
7,0.0039808296178313555
7,0.003334724856411714
7,0.003701380998162678
7,0.003009065167457093
7,0.004778353030543934
7,0.00506338213166517
7,0.004448238079003256
7,0.005189901096536864
8,0.00016464669585782826
8,0.009829713768829936
8,0.009439796977452647
8,0.0024493111814454624
8,0.017500046231521408
8,0.0078934198962541
8,0.00010000175614522221
8,0.000302786994400601
8,0.7866152834322787
8,0.00010000393268029224
9,0.0031540542134935517
9,0.0020113715515185054
9,0.002970141053104516
9,0.002631374578452388
9,0.0031136902398194834
9,0.0027052814044079884
9,0.0016533746139394425
9,0.002977848337795651
9,0.0020282510450353496
9,0.00328010547391982
10,0.0005402674209420846
10,0.001014270477692395
10,0.001025397344194991
10,0.0009858121565715307
10,0.0008536860163341296
10,0.0009971782085157082
10,0.00010000393268029224
10,0.000813582717826861
10,0.0005766855332552868
10,0.0025316368556467356
