subject_idx,lamda,omega,v0
0,0.5232669071474785,0.0267439215785626,0.9999338930386481
0,0.6017983444165466,0.02655129052041252,0.9999346266457249
0,0.6018834505917926,0.028711796467875087,0.9996532312540389
0,0.4346205694427133,0.022954357825543246,0.9999338930386481
0,0.6301279460207918,0.02967979719882497,0.9999999997365621
0,0.6578163549308497,0.03161509088569322,0.9999999973469363
0,0.6647617690550341,0.030184824126395594,0.9999338930386481
0,0.6219921678169358,0.03261436548718498,0.999999997515516
0,0.6830303716072598,0.034134304020805695,0.999999999999917
0,0.7135235599601997,0.0361385117631269,0.9999338901836535
1,0.8559375435749913,0.02328039386708492,0.3318420228725544
1,0.7763419185689193,0.020129274339901245,0.20975470602097596
1,0.7156469493733585,0.02138479092178302,0.24552871755742675
1,0.8014651231087485,0.0216736023437746,0.30588668770006855
1,0.8694202514071243,0.024229909941674347,0.22662370633815643
1,0.9655305184046807,0.0239499978464659,0.07541082581445196
1,0.9303920141459787,0.025370542931819704,0.1145846395617261
1,0.8791022519328183,0.024652161990716157,0.2593520696971006
1,0.980197043872125,0.027507408313933467,0.09446095452899582
1,0.9594287598936495,0.027889027889525513,0.09321990343686683
2,0.33162057849233734,0.014727461541698112,0.999575274321974
2,0.47582157750047205,0.015970006700528568,0.9999999982015605
2,0.423361911582544,0.014268490168890959,0.9997386176051025
2,0.5232160972257449,0.015024056436828444,0.9999999999530083
2,0.44248639740963663,0.015503612474784836,0.9999999999355484
2,0.42238410711464813,0.01479573778613581,0.9999999988564908
2,0.5009072581457206,0.01475010689596237,0.9999999979277154
2,0.49389964241946094,0.017154356311784982,0.9999999998745083
2,0.39816789044913253,0.016269585604606743,0.9999997918177547
2,0.4629782770448817,0.014732535397460146,0.9977294286821777
3,0.9999747820890091,0.05949725615572445,0.9999999973723158
3,0.9999647224644439,0.06584223246367102,0.9999999983307587
3,0.999938455188522,0.0609133796092562,0.9999999994778901
3,0.9999895105757736,0.06716995829615505,0.9999999969830325
3,0.9999999987553326,0.0681022317443188,0.9999859909181477
3,0.9999660860986991,0.07368011211738329,0.9999388687199431
3,0.9999999988483748,0.06597292697569561,0.9999432931071895
3,0.9999999982836033,0.061611675390932825,0.9999379562798002
