subject_idx,p_c
0,0.0948113784844929
0,0.09050548571526748
0,0.08940070428181342
0,0.09047780140291403
0,0.0899485541358063
0,0.09370785611315381
0,0.08751362550709348
0,0.08823345726830979
0,0.09082236773146063
0,0.09008428464212612
0,0.09821090149139469
0,0.08848654258453645
0,0.0861810674157244
0,0.09045419645261443
0,0.09030342855295923
1,0.03262668986878246
1,0.023533674425045482
1,0.009514158663626312
1,0.02100608016163947
1,0.012775328846249753
1,0.018470096216138793
1,0.022851414969295474
1,0.01632425286837674
1,0.014309114677783383
1,0.01896151821898872
1,0.012648552805834982
1,0.021670826656054853
1,0.01273509088377573
1,0.017175839939488614
1,0.016294450311254448
2,0.021942803237623022
2,0.01580810668427685
2,0.017580411629033496
2,0.018603909568364586
2,0.019445580752291917
2,0.020006524613354018
2,0.01886922541249425
2,0.019222150669534404
2,0.01979825228714296
2,0.01959804991643853
2,0.018727396993715
2,0.02075466508690658
2,0.019630780389668322
2,0.020108038656712925
2,0.019222150669534404
3,0.7623724945781616
3,0.5378172911785245
3,0.6779937631671802
3,0.6831438453144637
3,0.6920136105488791
3,0.6004942024547449
3,0.6405976198655461
3,0.7057214061718697
3,0.7281808293174518
3,0.7021390661002567
3,0.778246811658234
3,0.6727271277683089
3,0.6908330646157131
3,0.7113525191391071
3,0.6796864479249534
4,0.037455994758956716
4,0.03843863336167366
4,0.04086610602063659
4,0.04066831211841538
4,0.04178157719249499
4,0.04302062912466542
4,0.04129609300071174
4,0.037077698632496825
4,0.03549031658831883
4,0.03780461191834071
4,0.04042124436541484
4,0.03751853845533989
4,0.03838106651258768
4,0.03841173257316992
4,0.03742038450568715
5,0.009033738815272412
5,0.008671836013805558
5,0.008385669708258391
5,0.008239053601860878
5,0.008032424732371425
5,0.007934712653722168
5,0.008820014354529287
5,0.008010380462375117
5,0.00832120766803894
5,0.007755119153810156
5,0.008372407173629885
5,0.008241535873466928
5,0.00858218534404745
5,0.008799307068035047
5,0.008943237514074852
6,0.07136920524773496
6,0.06730227696970295
6,0.06251800406769055
6,0.06219194437258073
6,0.0646226246185418
6,0.06538267282506098
6,0.06543935678881135
6,0.07152690121837839
6,0.06668021538795298
6,0.07305167839518946
6,0.07009760472401678
6,0.07132152429887814
6,0.07392036523024587
6,0.07034166606793087
6,0.06910297922319139
7,0.03611677051268436
7,0.03140296226021155
7,0.032331407954616885
7,0.03163184535119132
7,0.02854892994710747
7,0.028000655671161025
7,0.029761136148601437
7,0.030662313304825772
7,0.026975928537450296
7,0.03115186595905099
7,0.0307756148649465
7,0.03334094110652573
7,0.027036507492786344
7,0.029465418145169696
7,0.03382544929178358
8,0.016285539505000165
8,0.01729757221338109
8,0.015757442823815245
