subject_idx,delta1,delta2,hrate,nu_p
0,7.12224044949534,8.896463696024748,2.4292129302571665e-11,2.403430714103043
0,6.447041234537837,8.941180930784592,4.381688283418891e-12,2.2351804948432656
0,7.610741770884889,9.283959121189772,2.7220467140429893e-11,2.706002347723079
0,6.0706213844894465,8.071221126791638,6.609756966450371e-05,2.012257217234505
0,6.082390564649669,8.384564848438075,6.136463490785096e-08,2.0253459446358844
0,6.471115634199712,9.00205774890825,8.147970163410235e-08,2.124367329973196
0,6.120189173922367,8.173716030259614,2.3686645499827394e-12,2.0318118383196553
0,5.734097001196875,8.298997267062958,0.0009672684892923132,1.9301561722040828
0,6.417427867075031,8.503125299235887,7.152601897804122e-13,2.137640458259
0,6.1550872094904445,8.442050976549522,1.2541057230486613e-13,2.031586653536556
0,6.303653251990891,8.997502250575089,6.610349869753013e-05,2.12319206284638
0,6.838194760953229,8.623848134738925,6.613445053219708e-05,2.3697804261187017
0,6.028923619880298,8.162357198480503,2.8655949954516785e-12,1.9904379939745596
0,6.52309705898605,9.208095822230236,3.335868988809873e-12,2.222558253367969
0,6.94577406763191,8.577533661471259,6.602315425526156e-05,2.316668110791477
1,5.621141675513081,15.08244254464936,0.001696474522274718,4.9999623212796935
1,5.473646519380073,13.000387075572336,0.0035482517130442023,4.999964981155909
1,5.511405066447311,15.406612634364098,6.464274491115938e-05,4.9999623491033995
1,5.568720299235751,13.331807876351217,0.0033962354786977555,4.999965076519088
1,6.517208305879523,14.418515543990926,0.0016268968053952107,4.999960158882913
1,5.568644939040403,15.421541452190207,0.0014280720209319932,4.9999621414202
1,5.56782737037386,13.697152623093025,0.004095164851521424,4.99999580325062
1,6.18762138263846,11.464486324905494,0.0024110363426070452,4.999999999460908
1,5.599652933091884,12.960801347366669,0.005544756833699647,4.999963408978699
1,5.2696903818102845,16.234093053554798,0.0006333333954584713,4.999961793087384
1,5.7518206040352755,15.687209427239566,0.0009056004075579678,4.999961838467862
1,5.480702764130018,13.87029619069812,0.0021398441796689764,4.999963441788957
1,5.390493900363624,13.112784904338985,0.00382301231231,4.999967103917722
1,5.473338933840092,13.238435093242058,0.0041134652915930745,4.999999280150643
1,5.465048770158203,12.427119036076375,0.005398899271588623,4.999965624476794
2,5.687156262041264,16.999999975171793,0.03197121528193436,4.471205696905466
2,5.215271269038922,10.32693556630326,0.0389797955088149,4.999999999708938
2,5.773632275154606,16.861150684529964,0.03506916162740735,4.9999410277178145
2,4.977564594448186,16.99999999951587,0.03757724596182909,4.942297318877921
2,5.311079848102477,15.984982355300593,0.03991176136178005,4.999999999933332
2,5.471609758889472,15.670697782322819,0.04383376461384438,4.999999750225596
2,5.286947070956799,16.999999998961723,0.03541415166575503,4.817929200227002
2,5.470790045338828,12.758418480723256,0.04224874233057578,4.999994911758887
2,5.051998893167121,16.999999998461337,0.03150222407961294,4.561633795932643
2,5.696721677457641,16.999863276507636,0.039917181001440545,4.999999999737754
2,5.44720139951882,15.379186063713322,0.04274366531870557,4.999916254396639
2,6.14017216088876,16.732763176648678,0.03405985850468632,4.709485447756699
2,6.574788984785329,15.758647900192098,0.03735809463735023,4.999999637231845
2,5.8982667258835635,16.937932490432935,0.038330662083136104,4.999999905468136
2,4.915524692670092,16.676152584866212,0.03729746023671242,4.999935258875999
3,5.015747196217217,11.69918456459109,6.342877023329299e-05,4.999958389747666
3,5.21270934921905,12.726920432771589,2.3150139624713606e-14,4.999943522090032
3,4.983493124919963,11.775493112388247,4.640907025835186e-05,4.999960566485693
3,4.957076224726254,11.562794389925315,6.178515373674041e-05,4.9999605125937086
3,4.975581261023099,11.853920046031881,6.32807805977705e-05,4.9999593851373225
3,5.002813888312326,11.838638703037361,6.551089329818308e-05,4.999947649818676
3,4.997026191689288,11.80968284202233,6.610696135189607e-05,4.9999570919966185
3,4.93419112692334,11.729106702115763,6.610696135189607e-05,4.9999616673095835
3,4.881608694225905,11.593215348241845,6.610696135189607e-05,4.9999607230223075
3,4.950089050567703,11.874659385911809,1.6529814154169867e-05,4.9999596160245465
3,4.953577223667733,11.66694941417635,6.483543572457128e-05,4.999959385204805
3,4.952737880840966,11.509221209167547,6.277067619232602e-05,4.999965741487369
3,4.9733664862410505,11.7064580230781,6.548264455502347e-05,4.999963615152488
3,5.001412144238315,11.823459417653991,6.308978060304231e-05,4.999958496229345
3,4.905843649655118,11.659670255594433,6.610694699317266e-05,4.9999999999999405
4,5.515883708925204,7.428593000933942,0.017040552183529564,2.3612981587243973
4,6.229997590469106,7.970073995402377,0.011183024690067277,2.413357442542085
4,6.6757026948351035,8.494326927784998,0.008024807630111172,2.4195731082580596
4,6.3131804663599915,8.457300072795745,0.011559818876637134,2.3980697404649374
4,6.248296076912841,8.56034343008236,0.0129128833719983,2.384690536542553
4,7.140934715684538,8.949421708916907,0.007875552658983993,2.479186595474407
4,6.274716304908025,8.231040472064318,0.011773496741565736,2.4311883729763326
4,5.7559812567506725,7.654807016768715,0.01154745356900496,2.342060265666585
4,6.195199104098078,7.928877685466169,0.015052271696729489,2.6347065145103308
4,6.425670195505536,6.974746765814813,0.012938489356705253,2.579119108130139
4,7.999998662464078,9.37969950945583,0.012824220924712328,2.9559360663470833
4,6.17992047356568,8.422390177949127,0.00801494572657163,2.3797227600211452
4,7.999996375400613,8.798966276648166,0.016020947578913546,3.1849566529887956
4,6.009397106431074,8.020928207455686,0.014243844850191917,2.440887984814797
4,5.999185154690009,7.613980458798315,0.014686102359558409,2.461179276409965
5,1.8056335894264695,15.182193516028562,0.010068667692496772,4.522105945726719
5,1.140024477849668,3.863100156425067,0.0002873438038024764,4.999999999999824
5,3.685185403111588,16.999999805104217,0.005334721893751606,4.47552052864263
5,1.726790369611606,4.1130808348703765,2.110119010332589e-07,4.486729158294193
5,2.404738135561712,2.8636505201025155,0.006162266259975678,4.999999880061912
5,3.4049258218781557,10.940357596413303,0.01620266977780797,4.413182297271234
5,1.4449535442283479,3.8472431918934493,1.5213508263557166e-07,4.637711780508294
5,3.970041123760365,1.9383324504324722,6.608568110733633e-05,4.478725182371049
5,1.2600045944534206,3.7937310650841276,2.0556019370883286e-07,4.999402432817294
5,1.758302378326619,3.9042239003340447,2.0796953506884192e-08,4.6482775993083845
5,1.1195967475782431,3.75720551974962,4.4911729681842066e-05,4.9999999999202425
