subject_idx,lr
0,0.13248753641717473
0,0.12675201263749677
0,0.12747919530333998
0,0.13084348018373826
0,0.13022270640583883
0,0.1367682346502357
0,0.13035703555498007
0,0.12823152689102857
0,0.13022476585282836
0,0.1310466566280127
0,0.13192723767136708
0,0.12651842904575358
0,0.13017629891373705
0,0.1288787081678167
0,0.13405250347082184
1,0.04520036379914277
1,0.047118993989772526
1,0.0444182039077675
1,0.04662384703261938
1,0.04844963219896357
1,0.04515457616658663
1,0.04874880167626771
1,0.048538460755760154
1,0.04924516744010265
1,0.04884755915929507
1,0.04546109471661437
1,0.04840356210551367
1,0.04826616491527258
1,0.04587466551067409
1,0.048537387530869294
2,0.09153439258916525
2,0.08510947450359278
2,0.08704072202526573
2,0.08714195991073134
2,0.08768246373108901
2,0.08966373898225426
2,0.08763172315212951
2,0.08873573402882173
2,0.08986332291006384
2,0.08907375056118685
2,0.08864245177580701
2,0.09027601586158641
2,0.08908977091179189
2,0.08793940766171277
2,0.08597793747421598
3,0.020314132242199846
3,0.02865966609154542
3,0.02455205566111866
3,0.024508868751389128
3,0.024075377361719875
3,0.03095076208965986
3,0.026464580432914785
3,0.0238347773715282
3,0.02372613209825349
3,0.02378602353956651
3,0.021550463004996977
3,0.023852074922093666
3,0.023540550378813304
3,0.02265899654990698
3,0.024274057419091503
4,0.1258783639109331
4,0.12653173959489036
4,0.12733996783356985
4,0.12873534514231488
4,0.12981657485994064
4,0.13088710220878005
4,0.12427476544433112
4,0.12343154925841442
4,0.12261513615451103
4,0.12278484813750404
4,0.12816259784157338
4,0.12132147332413366
4,0.12379386132884056
4,0.12812144143669144
4,0.12621974955936194
5,0.083588380214372
5,0.08126444240286748
5,0.07498204279703463
5,0.07866870510183566
5,0.08049005249772463
5,0.08093992529335836
5,0.08142080024794102
5,0.08074302048630834
5,0.08031330226963926
5,0.07887740358631035
5,0.08136814774474989
5,0.0806120381813561
5,0.07766968523765258
5,0.08280315256287299
5,0.08176891578805556
6,0.1868402758750065
6,0.18780566096830714
6,0.1818994604647925
6,0.1813515090796066
6,0.18181702796176782
6,0.18456318137360794
6,0.18463125038042372
6,0.19000703823859239
6,0.18450495741451148
6,0.19078678178245886
6,0.1896952901330987
6,0.18389304133075834
6,0.18902570500847093
6,0.18729829530977163
6,0.1881415544883894
7,0.07612034246971282
7,0.07304446256487983
7,0.07150957238916063
7,0.06958429733232013
7,0.07264857828555121
7,0.07205818878784839
7,0.07277991358619852
7,0.07209354405420604
7,0.07128156803782147
7,0.07191109281390319
7,0.07345669586870486
7,0.0819165136968156
7,0.08017560609335202
7,0.07614441797475792
7,0.07642581375059426
8,0.1012431908550872
8,0.09833540391504066
8,0.09476755271560725
8,0.09181500745118126
8,0.09682509181572814
8,0.09402828164992975
8,0.08868189134910379
8,0.09225756569771694
8,0.0914569228895975
8,0.09155415054164173
8,0.09209174250645406
8,0.09082917497556962
8,0.09242772059852604
8,0.09633123821505662
8,0.0970439481488715
9,0.09341349553651623
9,0.0898495283976955
9,0.08901478301228559
9,0.0895406462817148
9,0.09017081612202493
9,0.08804654688165764
9,0.08898161656793888
9,0.08770171081852306
9,0.08897733508004775
9,0.08857198631302864
9,0.08740268892480549
9,0.08940361019082328
9,0.0873916871879391
9,0.09058256330722668
9,0.09012190031614326
10,0.06904869211915383
10,0.05982972495049501
10,0.0585476611303207
10,0.05512872321038933
10,0.056795086550818934
10,0.05201494810282509
10,0.05555027481738263
10,0.052624218996126224
10,0.057109482184216166
10,0.05566375210047413
10,0.05193297322550083
10,0.05388747146786699
10,0.0599554696335927
10,0.05445374324052721
10,0.05451856256536439
11,0.1310200245349252
11,0.13118507079025893
11,0.1277447113705202
11,0.13292688714267759
11,0.12830895432495443
11,0.1251922102600385
11,0.1326702198711949
11,0.13073244341755574
11,0.13310488777613289
11,0.1302665514254604
11,0.13213057603237538
11,0.13084513581108367
11,0.13203792586398988
11,0.13344232589650212
11,0.12963414920133667
12,0.1197375284756703
12,0.11724533470979942
12,0.11466964882838153
12,0.11784013376729545
12,0.11604782294272796
12,0.11318178847355738
12,0.1170531047659738
12,0.11268216333485744
12,0.11777474828869171
12,0.11582122242930777
12,0.11149229782815719
12,0.11461186151814215
12,0.11571142836079526
12,0.11604015939277955
12,0.11478139977329914
13,0.04429532075001595
13,0.042634792741920786
13,0.042535907752928745
13,0.04288200538960533
13,0.042326646806174505
13,0.042947243965465245
13,0.041108373524067765
13,0.040806927409459924
13,0.043575818703974485
13,0.04458330697696319
13,0.043236952456200434
13,0.0423041986080936
13,0.04220415700329874
13,0.04233293681792695
13,0.04285429762442332
14,0.076952323346094
14,0.07689506224464183
14,0.07258000923656492
14,0.0808362240268195
14,0.07295112130541646
14,0.07369230667581417
14,0.07526883576116808
14,0.074235766277644
14,0.08141256154576777
14,0.07370777491618523
14,0.07368931643384363
14,0.07601459503086891
14,0.07843899435583147
14,0.07268293824614389
14,0.07619514781848231
15,0.10830297952963062
15,0.10905140473765927
15,0.10693428800089305
15,0.10686548696808167
15,0.10892662920544117
15,0.10445317420342354
