subject_idx,Kp,Ki,Kd,lamda
0,-0.30650738971362734,0.24790651954742038,0.13798950655071207,0.992267832628869
0,-0.33672097386373834,0.2536380070821234,0.14427087512992018,0.992106055646874
0,-0.3356468022166871,0.26291362451972894,0.14685766167571454,0.9923893487728321
0,-0.32784189903157074,0.25468477714187604,0.14207111843202364,0.9917583099787248
0,-0.32955393834193913,0.24922119812101295,0.14277327616919702,0.9912033938515055
0,-0.3448886841343765,0.2601995496966416,0.149225049691913,0.9917718822209183
0,-0.32441598078820516,0.2525296039225117,0.13759687241828852,0.9914369541538659
0,-0.3349332428554742,0.25175723707538195,0.13817359886577887,0.9922426320952061
0,-0.3453242734737699,0.26310403583901876,0.14827384073798708,0.991893434374402
0,-0.36168761210018247,0.2719360293293337,0.15994899154285272,0.9928114066619083
1,-0.10959488577943216,0.14609940008180566,0.008535398754658167,0.99116341555289
1,-0.10408166420531087,0.1608303199314334,0.002551043514195922,0.9912731020280255
1,-0.113506513249853,0.16008436532168036,0.009692643339499667,0.9911428095691264
1,-0.09772410843410327,0.16147800027606127,0.0006835433919204697,0.9904055515639095
1,-0.12019426228345753,0.15960307860653128,0.02100657425759098,0.9920364280760808
1,-0.10491173458631202,0.15301286739721323,0.006857106135265598,0.9894010714897716
1,-0.09914657042951296,0.13765292394926326,0.013516263663957787,0.9918659968022905
1,-0.060477241356630504,0.1369800654046368,-0.010391893810783537,0.9912385260630686
1,-0.10152160326087332,0.13858825171966907,0.009893897026098693,0.9881326723057048
1,-0.09865745347802396,0.15790815574018788,0.005168804324930722,0.9882486637786031
2,-0.32845404429553604,0.250515004496863,0.17239647899941957,0.989747350837172
2,-0.33847456163089035,0.24925654428638475,0.17307767381066455,0.99052509923923
2,-0.3352831097951143,0.2543058656895144,0.17374378206771507,0.990176511499487
2,-0.3418852703993535,0.2583343217298256,0.17846871133610306,0.9905048215924732
2,-0.34646364108615774,0.2679704193829767,0.1797661181909563,0.9903431174202453
2,-0.3477079050323824,0.25848561349683274,0.1807423388553418,0.9906671404410756
2,-0.3377795710498084,0.2560175555520287,0.17497538882198888,0.9908994769150805
2,-0.33174090083289154,0.25349366700931036,0.17082027279327075,0.9900647561967335
2,-0.32397626191998125,0.26477445912524217,0.17052281986914083,0.9903519668152831
2,-0.334270630486728,0.2592420493846499,0.17461727277188893,0.9907602906118649
3,-0.24348174499034647,0.3080219733670224,0.02973510215930938,0.9944743816975978
3,-0.2353710229132574,0.30397438213603656,0.032986388920980304,0.9944016417342539
3,-0.23069780369154783,0.3104503904368886,0.028909480509814515,0.9942621065229085
3,-0.2286621636855209,0.2947369497980974,0.03257311005732467,0.9949754611071585
3,-0.19754721646019133,0.29210917230431843,0.0003111831891849477,0.9945035452997968
3,-0.1974702808929945,0.2704533487047917,0.00842293602437341,0.9946468432204582
3,-0.2054094106211919,0.2923146819324663,0.0010203687867669908,0.9944228389964128
3,-0.21015488772875648,0.2885439725611974,0.010146277417057214,0.9933890279579995
3,-0.2039377866471595,0.2905144352940089,0.002940972865383862,0.9946386223732876
3,-0.2031311930364508,0.2886649498041761,0.006840550007550988,0.9943750551676457
4,-0.16099028372859173,0.13858449829121547,0.09364336358513813,0.9932575709950722
4,-0.15757543076915895,0.14061368791573092,0.08437346838762144,0.9927172112844502
4,-0.16624501133275413,0.14504726598739434,0.08951921800906976,0.9935390655549289
4,-0.1467721387482912,0.12545135458315781,0.07731984434957714,0.9935468359323735
4,-0.18587654976209336,0.14324234643110764,0.09903033687601391,0.9926981375570474
4,-0.20440561890797918,0.15322946152844263,0.10913734540298625,0.9928772110792813
4,-0.17141878212964332,0.14944226041675235,0.09034048134922655,0.9927993448255678
4,-0.16477927938830464,0.1357414625296681,0.08796381259837087,0.9934102044454522
4,-0.1848854108403377,0.1445970171638374,0.09827818948289756,0.9923171031580378
