lamda,omega,v0
0.6501535882349556,0.48644821234308266,0.23643720189002862
0.94811515336277,0.6535126294111128,0.28674137359975277
0.3880288940449851,0.03296825879681862,0.49725180733790614
0.6412920800310895,0.45401758976070583,0.9474917891773085
0.6904921529347874,0.46042743165504607,0.10428638387628401
0.12661074627458996,0.08869124190809985,0.7517120364826376
0.23946737906682516,0.37686483227740464,0.23530787326527738
0.2541566704333271,0.1748518529276976,0.3719023605634782
0.42643667154791925,0.3419620067724655,0.859477502686291
0.8390092084830538,0.46022393340759266,0.14041867034436573
0.7450329776140484,0.05952529356251551,0.1746123921279417
0.3806806449081896,0.47739578818361084,0.86973074517204
0.2616958683331281,0.7289855938808186,0.8450992345798697
0.053333802534865395,0.5082553014470476,0.5485318255448867
0.4369511786774756,0.220112894935924,0.3166002157646279
0.20898065242800798,0.45484583464130107,0.0625043217946041
0.5944056118160633,0.7878704802029682,0.933959860876114
0.09890471339356505,0.40753342092735606,0.060586610282327626
0.22409289009784766,0.24615997185962557,0.22254759677998256
0.5842631826285749,0.2670412398287569,0.44366287506197144
0.9590639550633433,0.7710901505424416,0.8145953165086275
0.20988253127269818,0.7995888358547106,0.1800742067916244
0.661337464342491,0.42260741831538307,0.2786815752877732
0.5026124858506562,0.9211088695490144,0.5585604480326498
0.320292439133662,0.4878343081673927,0.6659518309827076
0.12506493815147726,0.2898444693803102,0.529897281485277
0.8068885029732227,0.4354643937359863,0.802516230625866
0.9869599043508555,0.8316709513180433,0.36845371845549635
0.543031232848473,0.33133307165158854,0.0860456253510255
0.2313355162363118,0.15325947477408425,0.9209198440199118
0.6035255236160739,0.948069069144591,0.9529822643820636
0.17669534623042646,0.02859683672009151,0.18647024170028692
0.8865375849700706,0.5203854906114196,0.9838322433927902
0.589024959322407,0.2635746483266718,0.7934970267057321
0.7211741759912984,0.6671906578955888,0.8510127717242513
0.27566842313038464,0.8909371127485587,0.34268234129525504
0.7881164606726654,0.2715400477967588,0.7278961542931593
0.13261842967779505,0.3029444462476125,0.5051562628772218
0.3997152527136844,0.2400953498020935,0.08178021395914306
0.6298230180973978,0.4330029870184353,0.32534508492619296
0.42404136979907336,0.8085604518056099,0.10229189111742942
0.1618730835423223,0.21717423474138722,0.7970892274705287
0.5205065671790194,0.06282705045118325,0.662439762125104
0.6071725947108595,0.11273493775609339,0.8652939964675757
0.5808053655207214,0.9136063940050658,0.7559600176061387
0.8211159707320672,0.5567286065838469,0.19339375129651976
0.9849982281832235,0.4390153962159111,0.09872015095864389
0.934488418350921,0.6698887442158853,0.2908540826670987
0.903041731136355,0.8369259471439711,0.19546002713951374
0.3380251704301305,0.7763357867197039,0.0735354246160244
0.7832461931139001,0.6854243970850208,0.706759544609932
0.7437347862858541,0.9623101084521108,0.9603809595368282
0.5805874287633802,0.2315827982733582,0.1982549432749716
0.4326635560024139,0.5985835008412232,0.7680496039424113
0.6679272431313138,0.6818399383253246,0.9142342127162874
0.23668739240850153,0.6800740333799319,0.9268233531017436
0.451731446918163,0.504525281869354,0.7055969261350852
0.9199974668178709,0.17522276376648205,0.37360863241250564
0.9668645402229924,0.306854947915419,0.6671046332374514
0.7690506720677055,0.49526782215994086,0.8134037898814417
0.32671155051140993,0.6407258394734503,0.6384731316779738
0.6228301661864339,0.10592851904471226,0.5109861064375253
0.1916022148036907,0.7482068671986403,0.41978396886760105
0.24832902505256252,0.8384639115423416,0.2910192813935016
0.11683796481024157,0.5364887346758923,0.6662221831278426
0.010325502179319924,0.7923766041607958,0.9955530562159013
0.8486942957248426,0.16155143256534132,0.3908981753928913
0.5306661920931065,0.5621596355433052,0.3211873367614317
0.493830148215202,0.13666532684700564,0.5141811266640922
0.6523021606878077,0.9387034688354315,0.3346809128969648
0.22667623275876073,0.6075152172782814,0.48468785437679457
0.6171624659148941,0.795869658764936,0.9988506786104246
0.20054907568455968,0.8794818743008056,0.619316523379697
0.49089683548543794,0.02612516090032287,0.30245497457999765
0.9485299065097936,0.3665936360490642,0.19425380984950583
0.9820137141647798,0.4547158534879599,0.44701224361602976
0.1731546475004473,0.9138362134108262,0.7427844677764814
0.7425161174249421,0.43431334054000437,0.5339927628471981
0.3864704203004241,0.22812608631120035,0.9028924414516084
0.6511086909598078,0.14892991711442952,0.3286090875876175
0.7434635908111692,0.62468652484865,0.9382863307509619
0.2477744309203141,0.1627856730669631,0.1587801138774049
0.4919862632154768,0.04332869892149462,0.9018135730247766
0.4247499985739103,0.6215121054381494,0.6177208100959922
